daesu,name,party,bloc
16,강봉균,새천년민주당,더불어민주당
16,강삼재,한나라당,국민의힘
16,강성구,한나라당,국민의힘
16,강숙자,민주국민당,민주국민당
16,강신성일,한나라당,국민의힘
16,강운태,새천년민주당,더불어민주당
16,강인섭,한나라당,국민의힘
16,강재섭,한나라당,국민의힘
16,강창성,한나라당,국민의힘
16,강창희,자유민주연합,자유민주연합
16,강현욱,새천년민주당,더불어민주당
16,고진부,새천년민주당,더불어민주당
16,고흥길,한나라당,국민의힘
16,구종태,새천년민주당,더불어민주당
16,권기술,한나라당,국민의힘
16,권영세,한나라당,국민의힘
16,권오을,한나라당,국민의힘
16,권철현,한나라당,국민의힘
16,권태망,한나라당,국민의힘
16,김경재,새천년민주당,더불어민주당
16,김경천,새천년민주당,더불어민주당
16,김광원,한나라당,국민의힘
16,김근태,열린우리당,더불어민주당
16,김기배,한나라당,국민의힘
16,김기재,새천년민주당,더불어민주당
16,김기춘,한나라당,국민의힘
16,김덕규,민주당,민주당
16,김덕룡,한나라당,국민의힘
16,김덕배,새천년민주당,더불어민주당
16,김동욱,한나라당,국민의힘
16,김락기,한나라당,국민의힘
16,김만제,한나라당,국민의힘
16,김명섭,새천년민주당,더불어민주당
16,김무성,한나라당,국민의힘
16,김문수,한나라당,국민의힘
16,김민석,새천년민주당,더불어민주당
16,김방림,새천년민주당,더불어민주당
16,김병호,한나라당,국민의힘
16,김부겸,한나라당·무소속·열린우리당,한나라당·무소속·열린우리당
16,김상현,새천년민주당,더불어민주당
16,김성순,새천년민주당,더불어민주당
16,김성조,한나라당,국민의힘
16,김성호,새천년민주당,더불어민주당
16,김영구,한나라당,국민의힘
16,김영구,한나라당,국민의힘
16,김영선,한나라당,국민의힘
16,김영일,한나라당,국민의힘
16,김영진,새천년민주당,더불어민주당
16,김영춘,한나라당,국민의힘
16,김영환,새천년민주당,더불어민주당
16,김옥두,새천년민주당,더불어민주당
16,김용갑,한나라당,국민의힘
16,김용균,한나라당,국민의힘
16,김용학,한나라당,국민의힘
16,김용환,희망의 한국신당,희망의한국신당
16,김운용,새천년민주당,더불어민주당
16,김원기,새천년민주당,더불어민주당
16,김원길,한나라당,국민의힘
16,김원웅,한나라당,국민의힘
16,김일윤,한나라당,국민의힘
16,김정부,한나라당,국민의힘
16,김정숙,한나라당,국민의힘
16,김종필,자유민주연합,자유민주연합
16,김종하,한나라당,국민의힘
16,김종호,자유민주연합,자유민주연합
16,김진재,한나라당,국민의힘
16,김찬우,한나라당,국민의힘
16,김충조,새천년민주당,더불어민주당
16,김태식,새천년민주당,더불어민주당
16,김태호,한나라당,국민의힘
16,김택기,새천년 민주당,더불어민주당
16,김학송,한나라당,국민의힘
16,김학원,자민련,자민련
16,김한길,새천년민주당,더불어민주당
16,김형오,한나라당,국민의힘
16,김홍신,한나라당,국민의힘
16,김홍일,새천년민주당,더불어민주당
16,김화중,새천년민주당,더불어민주당
16,김황식,한나라당,국민의힘
16,김효석,새천년민주당,더불어민주당
16,김희선,열린우리당),열린우리당)
16,나오연,한나라당,국민의힘
16,남경필,한나라당,국민의힘
16,남궁석,새천년 민주당,더불어민주당
16,도종이,한나라당,국민의힘
16,류시민,열린우리당,더불어민주당
16,맹형규,한나라당,국민의힘
16,목요상,한나라당,국민의힘
16,문석호,열린우리당,더불어민주당
16,문희상,새천년민주당,더불어민주당
16,민봉기,한나라당,국민의힘
16,박경섭,한나라당,국민의힘
16,박관용,한나라당,국민의힘
16,박광태,새천년민주당),새천년민주당)
16,박근혜,"무소속,한국미래연합,한나라당","무소속,한국미래연합,한나라당"
16,박금자,새천년민주당,더불어민주당
16,박명환,한나라당,국민의힘
16,박병석,새천년민주당,더불어민주당
16,박병윤,새천년민주당,더불어민주당
16,박상규,한나라당,국민의힘
16,박상천,새천년 민주당,더불어민주당
16,박상희,새천년민주당,더불어민주당
16,박세환,한나라당,국민의힘
16,박승국,한나라당,국민의힘
16,박시균,한나라당,국민의힘
16,박양수,새천년민주당,더불어민주당
16,박원홍,한나라당,국민의힘
16,박인상,새천년민주당,더불어민주당
16,박재욱,한나라당,국민의힘
16,박종근,한나라당,국민의힘
16,박종완,새천년민주당,더불어민주당
16,박종우,새천년민주당,더불어민주당
16,박종웅,한나라당,국민의힘
16,박종희,한나라당,국민의힘
16,박주선,새천년 민주당,더불어민주당
16,박주천,한나라당,국민의힘
16,박진,한나라당,국민의힘
16,박창달,한나라당,국민의힘
16,박헌기,한나라당,국민의힘
16,박혁규,한나라당,국민의힘
16,박희태,한나라당,국민의힘
16,배기선,열린우리당,더불어민주당
16,배기운,새천년민주당,더불어민주당
16,백승홍,한나라당,국민의힘
16,변웅전,자민련,자민련
16,서병수,한나라당,국민의힘
16,서상섭,한나라당,국민의힘
16,서영훈,새천년민주당,더불어민주당
16,서정화,한나라당,국민의힘
16,서청원,한나라당,국민의힘
16,설송웅,새천년민주당,더불어민주당
16,설훈,새천년민주당,더불어민주당
16,손태인,한나라당,국민의힘
16,손학규,한나라당,국민의힘
16,손희정,한나라당,국민의힘
16,송광호,자유민주연합,자유민주연합
16,송병대,한나라당,국민의힘
16,송석찬,새천년민주당,더불어민주당
16,송영길,새천년민주당,더불어민주당
16,송영진,새천년민주당,더불어민주당
16,송훈석,새천년민주당,더불어민주당
16,신경식,한나라당,국민의힘
16,신계륜,열린우리당,더불어민주당
