task_id,source_id,date,category_id,page,status,last_error,output_file
yonhap_20010101_all_p001,yonhap,2001-01-01,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010101_politics_p001,yonhap,2001-01-01,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010101_economy_p001,yonhap,2001-01-01,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010101_society_p001,yonhap,2001-01-01,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010102_all_p001,yonhap,2001-01-02,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010102_politics_p001,yonhap,2001-01-02,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010102_economy_p001,yonhap,2001-01-02,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010102_society_p001,yonhap,2001-01-02,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010103_all_p001,yonhap,2001-01-03,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010103_politics_p001,yonhap,2001-01-03,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010103_economy_p001,yonhap,2001-01-03,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010103_society_p001,yonhap,2001-01-03,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010104_all_p001,yonhap,2001-01-04,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010104_politics_p001,yonhap,2001-01-04,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010104_economy_p001,yonhap,2001-01-04,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010104_society_p001,yonhap,2001-01-04,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010105_all_p001,yonhap,2001-01-05,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010105_politics_p001,yonhap,2001-01-05,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010105_economy_p001,yonhap,2001-01-05,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010105_society_p001,yonhap,2001-01-05,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010106_all_p001,yonhap,2001-01-06,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010106_politics_p001,yonhap,2001-01-06,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010106_economy_p001,yonhap,2001-01-06,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010106_society_p001,yonhap,2001-01-06,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010107_all_p001,yonhap,2001-01-07,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010107_politics_p001,yonhap,2001-01-07,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010107_economy_p001,yonhap,2001-01-07,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010107_society_p001,yonhap,2001-01-07,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010108_all_p001,yonhap,2001-01-08,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010108_politics_p001,yonhap,2001-01-08,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010108_economy_p001,yonhap,2001-01-08,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010108_society_p001,yonhap,2001-01-08,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010109_all_p001,yonhap,2001-01-09,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010109_politics_p001,yonhap,2001-01-09,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010109_economy_p001,yonhap,2001-01-09,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010109_society_p001,yonhap,2001-01-09,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010110_all_p001,yonhap,2001-01-10,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010110_politics_p001,yonhap,2001-01-10,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010110_economy_p001,yonhap,2001-01-10,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010110_society_p001,yonhap,2001-01-10,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010111_all_p001,yonhap,2001-01-11,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010111_politics_p001,yonhap,2001-01-11,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010111_economy_p001,yonhap,2001-01-11,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010111_society_p001,yonhap,2001-01-11,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010112_all_p001,yonhap,2001-01-12,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010112_politics_p001,yonhap,2001-01-12,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010112_economy_p001,yonhap,2001-01-12,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010112_society_p001,yonhap,2001-01-12,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010113_all_p001,yonhap,2001-01-13,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010113_politics_p001,yonhap,2001-01-13,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010113_economy_p001,yonhap,2001-01-13,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010113_society_p001,yonhap,2001-01-13,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010114_all_p001,yonhap,2001-01-14,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010114_politics_p001,yonhap,2001-01-14,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010114_economy_p001,yonhap,2001-01-14,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010114_society_p001,yonhap,2001-01-14,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010115_all_p001,yonhap,2001-01-15,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010115_politics_p001,yonhap,2001-01-15,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010115_economy_p001,yonhap,2001-01-15,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010115_society_p001,yonhap,2001-01-15,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010116_all_p001,yonhap,2001-01-16,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010116_politics_p001,yonhap,2001-01-16,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010116_economy_p001,yonhap,2001-01-16,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010116_society_p001,yonhap,2001-01-16,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010117_all_p001,yonhap,2001-01-17,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010117_politics_p001,yonhap,2001-01-17,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010117_economy_p001,yonhap,2001-01-17,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010117_society_p001,yonhap,2001-01-17,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010118_all_p001,yonhap,2001-01-18,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010118_politics_p001,yonhap,2001-01-18,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010118_economy_p001,yonhap,2001-01-18,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010118_society_p001,yonhap,2001-01-18,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010119_all_p001,yonhap,2001-01-19,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010119_politics_p001,yonhap,2001-01-19,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010119_economy_p001,yonhap,2001-01-19,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010119_society_p001,yonhap,2001-01-19,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010120_all_p001,yonhap,2001-01-20,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010120_politics_p001,yonhap,2001-01-20,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010120_economy_p001,yonhap,2001-01-20,economy,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010120_society_p001,yonhap,2001-01-20,society,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010121_all_p001,yonhap,2001-01-21,all,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
yonhap_20010121_politics_p001,yonhap,2001-01-21,politics,1,pending,,data\raw_lake\source_archive\source=yonhap\year=2001\month=01\part.jsonl
