query_id,query,category,priority,window_start,window_end,enabled
q0001,대선,election_issue,1,2021-01-01,2021-03-31,true
q0002,대선,election_issue,1,2021-04-01,2021-06-30,true
q0003,대선,election_issue,1,2021-07-01,2021-09-30,true
q0004,대선,election_issue,1,2021-10-01,2021-12-31,true
q0005,대선,election_issue,1,2022-01-01,2022-03-09,true
q0006,대선 대선,election_issue,1,2021-01-01,2021-03-31,true
q0007,대선 대선,election_issue,1,2021-04-01,2021-06-30,true
q0008,대선 대선,election_issue,1,2021-07-01,2021-09-30,true
q0009,대선 대선,election_issue,1,2021-10-01,2021-12-31,true
q0010,대선 대선,election_issue,1,2022-01-01,2022-03-09,true
q0011,총선,election_issue,1,2021-01-01,2021-03-31,true
q0012,총선,election_issue,1,2021-04-01,2021-06-30,true
q0013,총선,election_issue,1,2021-07-01,2021-09-30,true
q0014,총선,election_issue,1,2021-10-01,2021-12-31,true
q0015,총선,election_issue,1,2022-01-01,2022-03-09,true
q0016,총선 대선,election_issue,1,2021-01-01,2021-03-31,true
q0017,총선 대선,election_issue,1,2021-04-01,2021-06-30,true
q0018,총선 대선,election_issue,1,2021-07-01,2021-09-30,true
q0019,총선 대선,election_issue,1,2021-10-01,2021-12-31,true
q0020,총선 대선,election_issue,1,2022-01-01,2022-03-09,true
q0021,지방선거,election_issue,1,2021-01-01,2021-03-31,true
q0022,지방선거,election_issue,1,2021-04-01,2021-06-30,true
q0023,지방선거,election_issue,1,2021-07-01,2021-09-30,true
q0024,지방선거,election_issue,1,2021-10-01,2021-12-31,true
q0025,지방선거,election_issue,1,2022-01-01,2022-03-09,true
q0026,지방선거 대선,election_issue,1,2021-01-01,2021-03-31,true
q0027,지방선거 대선,election_issue,1,2021-04-01,2021-06-30,true
q0028,지방선거 대선,election_issue,1,2021-07-01,2021-09-30,true
q0029,지방선거 대선,election_issue,1,2021-10-01,2021-12-31,true
q0030,지방선거 대선,election_issue,1,2022-01-01,2022-03-09,true
q0031,정권교체,election_issue,1,2021-01-01,2021-03-31,true
q0032,정권교체,election_issue,1,2021-04-01,2021-06-30,true
q0033,정권교체,election_issue,1,2021-07-01,2021-09-30,true
q0034,정권교체,election_issue,1,2021-10-01,2021-12-31,true
q0035,정권교체,election_issue,1,2022-01-01,2022-03-09,true
q0036,정권교체 대선,election_issue,1,2021-01-01,2021-03-31,true
q0037,정권교체 대선,election_issue,1,2021-04-01,2021-06-30,true
q0038,정권교체 대선,election_issue,1,2021-07-01,2021-09-30,true
q0039,정권교체 대선,election_issue,1,2021-10-01,2021-12-31,true
q0040,정권교체 대선,election_issue,1,2022-01-01,2022-03-09,true
q0041,정권심판,election_issue,1,2021-01-01,2021-03-31,true
q0042,정권심판,election_issue,1,2021-04-01,2021-06-30,true
q0043,정권심판,election_issue,1,2021-07-01,2021-09-30,true
q0044,정권심판,election_issue,1,2021-10-01,2021-12-31,true
