election_id,generation,slot,candidate,vote_share_pct
pres_2002,20,A,노무현,59.0
pres_2002,20,B,이회창,34.9
pres_2002,30,A,노무현,59.3
pres_2002,30,B,이회창,34.2
pres_2002,40,A,노무현,48.1
pres_2002,40,B,이회창,47.9
pres_2002,50,A,노무현,40.1
pres_2002,50,B,이회창,57.9
pres_2002,60+,A,노무현,34.9
pres_2002,60+,B,이회창,63.5
pres_2007,20,A,이명박,42.5
pres_2007,20,B,정동영,20.7
pres_2007,20,C,이회창,15.7
pres_2007,30,A,이명박,40.4
pres_2007,30,B,정동영,28.3
pres_2007,30,C,이회창,14.0
pres_2007,40,A,이명박,50.6
pres_2007,40,B,정동영,27.1
pres_2007,40,C,이회창,13.3
pres_2007,50,A,이명박,58.5
pres_2007,50,B,정동영,23.5
pres_2007,50,C,이회창,13.4
pres_2007,60+,A,이명박,58.8
pres_2007,60+,B,정동영,24.8
pres_2007,60+,C,이회창,14.2
pres_2012,20,A,박근혜,33.7
pres_2012,20,B,문재인,65.8
pres_2012,30,A,박근혜,33.1
pres_2012,30,B,문재인,66.5
pres_2012,40,A,박근혜,44.1
pres_2012,40,B,문재인,55.6
pres_2012,50,A,박근혜,62.5
pres_2012,50,B,문재인,37.4
pres_2012,60+,A,박근혜,72.3
pres_2012,60+,B,문재인,27.5
pres_2017,20,A,문재인,47.6
pres_2017,20,B,홍준표,8.2
pres_2017,20,C,안철수,17.9
pres_2017,30,A,문재인,56.9
pres_2017,30,B,홍준표,8.6
pres_2017,30,C,안철수,18.0
pres_2017,40,A,문재인,52.4
pres_2017,40,B,홍준표,11.5
pres_2017,40,C,안철수,22.2
pres_2017,50,A,문재인,36.9
pres_2017,50,B,홍준표,26.8
pres_2017,50,C,안철수,25.4
pres_2017,60+,A,문재인,23.4
pres_2017,60+,B,홍준표,48.4
pres_2017,60+,C,안철수,23.1
pres_2022,20,A,윤석열,54.1
pres_2022,20,B,이재명,37.7
pres_2022,30,A,윤석열,50.8
pres_2022,30,B,이재명,41.1
pres_2022,40,A,윤석열,40.1
pres_2022,40,B,이재명,52.6
pres_2022,50,A,윤석열,55.6
pres_2022,50,B,이재명,40.7
pres_2022,60+,A,윤석열,78.5
pres_2022,60+,B,이재명,18.6
