election_id,region_id,slot,variable_name,variable_value,available_date,source_note
pres_2022,sgg_001,A,regional_base,0.45,2022-03-08,sample manual value
pres_2022,sgg_001,A,third_candidate_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_001,A,local_issue_fit,0.30,2022-03-08,sample manual value
pres_2022,sgg_001,A,turnout_structure,0.20,2022-03-08,sample manual value
pres_2022,sgg_001,A,risk_or_negative,-0.10,2022-03-08,sample manual value
pres_2022,sgg_001,B,regional_base,-0.10,2022-03-08,sample manual value
pres_2022,sgg_001,B,third_candidate_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_001,B,local_issue_fit,-0.05,2022-03-08,sample manual value
pres_2022,sgg_001,B,turnout_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_001,B,risk_or_negative,-0.05,2022-03-08,sample manual value
pres_2022,sgg_001,C,regional_base,-0.35,2022-03-08,sample manual value
pres_2022,sgg_001,C,third_candidate_structure,-0.20,2022-03-08,sample manual value
pres_2022,sgg_001,C,local_issue_fit,-0.10,2022-03-08,sample manual value
pres_2022,sgg_001,C,turnout_structure,-0.10,2022-03-08,sample manual value
pres_2022,sgg_001,C,risk_or_negative,-0.20,2022-03-08,sample manual value
pres_2022,sgg_001,alpha,regional_base,-0.60,2022-03-08,sample manual value
pres_2022,sgg_001,alpha,third_candidate_structure,-0.40,2022-03-08,sample manual value
pres_2022,sgg_001,alpha,local_issue_fit,-0.20,2022-03-08,sample manual value
pres_2022,sgg_001,alpha,turnout_structure,-0.15,2022-03-08,sample manual value
pres_2022,sgg_001,alpha,risk_or_negative,-0.10,2022-03-08,sample manual value
pres_2022,sgg_002,A,regional_base,-0.20,2022-03-08,sample manual value
pres_2022,sgg_002,A,third_candidate_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_002,A,local_issue_fit,-0.05,2022-03-08,sample manual value
pres_2022,sgg_002,A,turnout_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_002,A,risk_or_negative,-0.10,2022-03-08,sample manual value
pres_2022,sgg_002,B,candidate_strength,0.20,2022-03-08,manual override sample
pres_2022,sgg_002,B,regional_base,0.50,2022-03-08,sample manual value
pres_2022,sgg_002,B,third_candidate_structure,0.00,2022-03-08,sample manual value
pres_2022,sgg_002,B,local_issue_fit,0.25,2022-03-08,sample manual value
pres_2022,sgg_002,B,turnout_structure,0.20,2022-03-08,sample manual value
pres_2022,sgg_002,B,risk_or_negative,-0.05,2022-03-08,sample manual value
pres_2022,sgg_002,C,candidate_strength,-0.10,2022-03-08,manual override sample
pres_2022,sgg_002,C,regional_base,-0.30,2022-03-08,sample manual value
pres_2022,sgg_002,C,third_candidate_structure,-0.10,2022-03-08,sample manual value
pres_2022,sgg_002,C,local_issue_fit,-0.05,2022-03-08,sample manual value
pres_2022,sgg_002,C,turnout_structure,-0.10,2022-03-08,sample manual value
pres_2022,sgg_002,C,risk_or_negative,-0.10,2022-03-08,sample manual value
pres_2022,sgg_002,alpha,regional_base,-0.60,2022-03-08,sample manual value
pres_2022,sgg_002,alpha,third_candidate_structure,-0.40,2022-03-08,sample manual value
pres_2022,sgg_002,alpha,local_issue_fit,-0.20,2022-03-08,sample manual value
pres_2022,sgg_002,alpha,turnout_structure,-0.15,2022-03-08,sample manual value
pres_2022,sgg_002,alpha,risk_or_negative,-0.10,2022-03-08,sample manual value
