model_name,variable_name,weight,notes
balanced,regional_base,0.30,
balanced,candidate_strength,0.15,
balanced,national_mood,0.20,
balanced,third_candidate_structure,0.10,
balanced,local_issue_fit,0.10,
balanced,turnout_structure,0.10,
balanced,risk_or_negative,0.05,
regional_heavy,regional_base,0.45,
regional_heavy,candidate_strength,0.10,
regional_heavy,national_mood,0.15,
regional_heavy,third_candidate_structure,0.10,
regional_heavy,local_issue_fit,0.10,
regional_heavy,turnout_structure,0.05,
regional_heavy,risk_or_negative,0.05,
issue_heavy,regional_base,0.20,
issue_heavy,candidate_strength,0.10,
issue_heavy,national_mood,0.15,
issue_heavy,third_candidate_structure,0.10,
issue_heavy,local_issue_fit,0.25,
issue_heavy,turnout_structure,0.10,
issue_heavy,risk_or_negative,0.10,
