election_id,region_id,slot,variable_name,variable_value,available_date,source_note
pres_2022,sgg_001,A,candidate_strength,0.25,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_001,A,local_issue_fit,0.3,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,A,national_mood,0.15,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_001,A,regional_base,0.45,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,A,risk_or_negative,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,A,third_candidate_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,A,turnout_structure,0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,B,candidate_strength,0.1,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_001,B,local_issue_fit,-0.05,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,B,national_mood,-0.05,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_001,B,regional_base,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,B,risk_or_negative,-0.05,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,B,third_candidate_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,B,turnout_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,C,candidate_strength,-0.15,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_001,C,local_issue_fit,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,C,national_mood,0.0,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_001,C,regional_base,-0.35,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,C,risk_or_negative,-0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,C,third_candidate_structure,-0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,C,turnout_structure,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,alpha,candidate_strength,-0.4,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_001,alpha,local_issue_fit,-0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,alpha,national_mood,0.0,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_001,alpha,regional_base,-0.6,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,alpha,risk_or_negative,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,alpha,third_candidate_structure,-0.4,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_001,alpha,turnout_structure,-0.15,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,A,candidate_strength,0.25,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_002,A,local_issue_fit,-0.05,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,A,national_mood,0.15,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_002,A,regional_base,-0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,A,risk_or_negative,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,A,third_candidate_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,A,turnout_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,B,candidate_strength,0.2,2022-03-08,manual_political_variables: manual override sample
pres_2022,sgg_002,B,local_issue_fit,0.25,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,B,national_mood,-0.05,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_002,B,regional_base,0.5,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,B,risk_or_negative,-0.05,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,B,third_candidate_structure,0.0,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,B,turnout_structure,0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,C,candidate_strength,-0.1,2022-03-08,manual_political_variables: manual override sample
pres_2022,sgg_002,C,local_issue_fit,-0.05,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,C,national_mood,0.0,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_002,C,regional_base,-0.3,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,C,risk_or_negative,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,C,third_candidate_structure,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,C,turnout_structure,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,alpha,candidate_strength,-0.4,2022-03-08,candidate_tone_scores: sample rule-based aggregate
pres_2022,sgg_002,alpha,local_issue_fit,-0.2,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,alpha,national_mood,0.0,2022-03-08,party_controversy_scores: sample rule-based aggregate
pres_2022,sgg_002,alpha,regional_base,-0.6,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,alpha,risk_or_negative,-0.1,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,alpha,third_candidate_structure,-0.4,2022-03-08,manual_political_variables: sample manual value
pres_2022,sgg_002,alpha,turnout_structure,-0.15,2022-03-08,manual_political_variables: sample manual value
