election_id,region_id,slot,model_name,variable_name,variable_value,weight,contribution
pres_2022,sgg_001,A,balanced,candidate_strength,0.25,0.15,0.0375
pres_2022,sgg_001,A,balanced,local_issue_fit,0.3,0.1,0.03
pres_2022,sgg_001,A,balanced,national_mood,0.15,0.2,0.03
pres_2022,sgg_001,A,balanced,regional_base,0.45,0.3,0.135
pres_2022,sgg_001,A,balanced,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_001,A,balanced,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,A,balanced,turnout_structure,0.2,0.1,0.020000000000000004
pres_2022,sgg_001,B,balanced,candidate_strength,0.1,0.15,0.015
pres_2022,sgg_001,B,balanced,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_001,B,balanced,national_mood,-0.05,0.2,-0.010000000000000002
pres_2022,sgg_001,B,balanced,regional_base,-0.1,0.3,-0.03
pres_2022,sgg_001,B,balanced,risk_or_negative,-0.05,0.05,-0.0025000000000000005
pres_2022,sgg_001,B,balanced,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,B,balanced,turnout_structure,0.0,0.1,0.0
pres_2022,sgg_001,C,balanced,candidate_strength,-0.15,0.15,-0.0225
pres_2022,sgg_001,C,balanced,local_issue_fit,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,C,balanced,national_mood,0.0,0.2,0.0
pres_2022,sgg_001,C,balanced,regional_base,-0.35,0.3,-0.105
pres_2022,sgg_001,C,balanced,risk_or_negative,-0.2,0.05,-0.010000000000000002
pres_2022,sgg_001,C,balanced,third_candidate_structure,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,C,balanced,turnout_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,alpha,balanced,candidate_strength,-0.4,0.15,-0.06
pres_2022,sgg_001,alpha,balanced,local_issue_fit,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,alpha,balanced,national_mood,0.0,0.2,0.0
pres_2022,sgg_001,alpha,balanced,regional_base,-0.6,0.3,-0.18
pres_2022,sgg_001,alpha,balanced,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_001,alpha,balanced,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_001,alpha,balanced,turnout_structure,-0.15,0.1,-0.015
pres_2022,sgg_002,A,balanced,candidate_strength,0.25,0.15,0.0375
pres_2022,sgg_002,A,balanced,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_002,A,balanced,national_mood,0.15,0.2,0.03
pres_2022,sgg_002,A,balanced,regional_base,-0.2,0.3,-0.06
pres_2022,sgg_002,A,balanced,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,A,balanced,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,A,balanced,turnout_structure,0.0,0.1,0.0
pres_2022,sgg_002,B,balanced,candidate_strength,0.2,0.15,0.03
pres_2022,sgg_002,B,balanced,local_issue_fit,0.25,0.1,0.025
pres_2022,sgg_002,B,balanced,national_mood,-0.05,0.2,-0.010000000000000002
pres_2022,sgg_002,B,balanced,regional_base,0.5,0.3,0.15
pres_2022,sgg_002,B,balanced,risk_or_negative,-0.05,0.05,-0.0025000000000000005
pres_2022,sgg_002,B,balanced,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,B,balanced,turnout_structure,0.2,0.1,0.020000000000000004
pres_2022,sgg_002,C,balanced,candidate_strength,-0.1,0.15,-0.015
pres_2022,sgg_002,C,balanced,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_002,C,balanced,national_mood,0.0,0.2,0.0
pres_2022,sgg_002,C,balanced,regional_base,-0.3,0.3,-0.09
pres_2022,sgg_002,C,balanced,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,C,balanced,third_candidate_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,balanced,turnout_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,alpha,balanced,candidate_strength,-0.4,0.15,-0.06
pres_2022,sgg_002,alpha,balanced,local_issue_fit,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_002,alpha,balanced,national_mood,0.0,0.2,0.0
pres_2022,sgg_002,alpha,balanced,regional_base,-0.6,0.3,-0.18
pres_2022,sgg_002,alpha,balanced,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,alpha,balanced,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_002,alpha,balanced,turnout_structure,-0.15,0.1,-0.015
pres_2022,sgg_001,A,issue_heavy,candidate_strength,0.25,0.1,0.025
pres_2022,sgg_001,A,issue_heavy,local_issue_fit,0.3,0.25,0.075
pres_2022,sgg_001,A,issue_heavy,national_mood,0.15,0.15,0.0225
pres_2022,sgg_001,A,issue_heavy,regional_base,0.45,0.2,0.09000000000000001
pres_2022,sgg_001,A,issue_heavy,risk_or_negative,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,A,issue_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,A,issue_heavy,turnout_structure,0.2,0.1,0.020000000000000004
pres_2022,sgg_001,B,issue_heavy,candidate_strength,0.1,0.1,0.010000000000000002
pres_2022,sgg_001,B,issue_heavy,local_issue_fit,-0.05,0.25,-0.0125
pres_2022,sgg_001,B,issue_heavy,national_mood,-0.05,0.15,-0.0075
pres_2022,sgg_001,B,issue_heavy,regional_base,-0.1,0.2,-0.020000000000000004
