bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
국민의힘,민자당,foreign_policy,1,0.35,1,1.0,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,jobs_labor,2,2.0,1,0.15384615384615385,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,security_nk,2,2.0,1,0.15384615384615385,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,economy_growth,2,1.75,1,0.1346153846153846,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,foreign_policy,2,1.75,1,0.1346153846153846,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,corruption_integrity,2,1.35,1,0.10384615384615385,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,external_shock,2,1.35,1,0.10384615384615385,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,education,2,0.7,1,0.05384615384615384,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,regional_dev,2,0.7,1,0.05384615384615384,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,family_legal_risk,1,0.35,1,0.02692307692307692,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,gender_generation,1,0.35,1,0.02692307692307692,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,inflation_livelihood,1,0.35,1,0.02692307692307692,15th_assembly_issue_phrase_extraction
국민의힘,보선 한나라당,welfare_pension,1,0.35,1,0.02692307692307692,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,economy_growth,240,143.7,70,0.11134787493704235,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,corruption_integrity,206,133.0,59,0.10305683623261401,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,regional_dev,228,110.7,66,0.08577738173646896,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,security_nk,227,110.55,65,0.08566115222192089,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,jobs_labor,209,101.8,65,0.07888109720661733,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,external_shock,130,95.1,56,0.07368951222347062,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,foreign_policy,156,94.45,48,0.07318585099376236,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,inflation_livelihood,132,83.05,52,0.06435240788810973,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,candidate_competence,146,78.14999999999999,66,0.06055557707953973,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,education,172,77.14999999999999,56,0.05978071364921932,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,welfare_pension,139,70.05,49,0.05427918329394444,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,family_legal_risk,124,48.349999999999994,46,0.03746464685599163,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,endorsement_event,108,42.25,47,0.03273797993103716,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,gender_generation,57,26.099999999999998,37,0.020223935531362595,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,regime_change,40,25.2,24,0.01952655844407423,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,housing,41,17.9,25,0.013870055402735268,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,unification_event,35,17.15,26,0.013288907829994962,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,gaffe_event,14,9.95,10,0.00770989113168804,15th_assembly_issue_phrase_extraction
국민의힘,신한국당,withdrawal_event,17,5.949999999999999,15,0.004610437410406416,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",corruption_integrity,10,6.65,3,0.18523676880222842,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",economy_growth,8,4.8999999999999995,2,0.13649025069637882,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",foreign_policy,5,3.85,2,0.10724233983286909,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",security_nk,8,3.4499999999999997,3,0.09610027855153203,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",candidate_competence,5,3.05,2,0.08495821727019498,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",regional_dev,7,2.4499999999999997,3,0.06824512534818941,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",external_shock,3,2.1,2,0.058495821727019504,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",family_legal_risk,4,1.7999999999999998,3,0.05013927576601671,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",education,4,1.4,2,0.03899721448467967,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",jobs_labor,4,1.4,1,0.03899721448467967,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",unification_event,2,1.35,2,0.037604456824512536,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",endorsement_event,3,1.0499999999999998,2,0.029247910863509745,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",welfare_pension,3,1.0499999999999998,2,0.029247910863509745,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",withdrawal_event,2,0.7,2,0.019498607242339833,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",gender_generation,1,0.35,1,0.009749303621169917,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당, 한나라당",inflation_livelihood,1,0.35,1,0.009749303621169917,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",education,9,5.75,1,0.14465408805031446,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",corruption_integrity,8,4.5,1,0.11320754716981132,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",regime_change,4,4.0,1,0.10062893081761007,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",security_nk,7,3.1,1,0.0779874213836478,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",regional_dev,7,3.0999999999999996,1,0.0779874213836478,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",family_legal_risk,7,2.8499999999999996,1,0.07169811320754717,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",candidate_competence,6,2.5,1,0.06289308176100629,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",economy_growth,6,2.5,1,0.06289308176100629,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",welfare_pension,3,2.35,1,0.05911949685534591,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",foreign_policy,4,2.05,1,0.05157232704402515,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",external_shock,2,1.75,1,0.0440251572327044,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",jobs_labor,5,1.75,1,0.0440251572327044,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",gender_generation,2,1.1,1,0.027672955974842768,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",unification_event,1,1.0,1,0.025157232704402517,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",endorsement_event,1,0.75,1,0.018867924528301886,15th_assembly_issue_phrase_extraction
국민의힘,"신한국당,한나라당",withdrawal_event,2,0.7,1,0.01761006289308176,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,corruption_integrity,33,21.5,5,0.17430077016619377,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,regional_dev,33,15.6,6,0.12646939602756385,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,candidate_competence,16,9.9,5,0.08025942440210783,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,economy_growth,20,9.6,5,0.07782732063234699,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,welfare_pension,18,8.9,3,0.07215241183623836,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,external_shock,9,7.7,6,0.062423996757194976,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,security_nk,18,7.35,5,0.059586542359140654,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,family_legal_risk,20,7.0,6,0.05674908796108634,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,jobs_labor,16,6.8999999999999995,6,0.05593838670449939,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,education,16,6.25,5,0.05066882853668423,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,regime_change,6,3.8,3,0.030806647750304013,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,unification_event,7,3.75,4,0.03040129712201054,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,housing,7,3.0999999999999996,4,0.025131738954195376,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,endorsement_event,7,2.8499999999999996,3,0.023104985812728008,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,inflation_livelihood,6,2.75,4,0.022294284556141065,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,foreign_policy,7,2.4499999999999997,5,0.019862180786380218,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,gaffe_event,3,1.85,2,0.014997973246858535,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,gender_generation,3,1.0499999999999998,2,0.00851236319416295,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,withdrawal_event,3,1.0499999999999998,2,0.00851236319416295,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,corruption_integrity,144,96.6,31,0.12723919915700738,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,economy_growth,123,78.15,34,0.10293730242360381,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,regional_dev,156,70.95,30,0.09345363540569021,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,security_nk,135,70.14999999999999,33,0.09239989462592202,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,candidate_competence,86,52.25,32,0.06882244467860907,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,external_shock,67,51.1,29,0.06730769230769232,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,welfare_pension,86,47.55,29,0.06263171759747102,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,jobs_labor,102,46.9,30,0.06177555321390938,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,education,90,40.5,31,0.05334562697576397,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,foreign_policy,73,40.199999999999996,28,0.052950474183350894,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,regime_change,47,36.0,23,0.04741833508956797,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,inflation_livelihood,55,31.75,27,0.04182033719704953,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,family_legal_risk,67,25.95,27,0.03418071654373024,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,endorsement_event,66,25.45,31,0.03352212855637513,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,gender_generation,37,15.45,20,0.02035036880927292,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,unification_event,19,11.2,13,0.014752370916754479,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,withdrawal_event,24,8.799999999999999,15,0.011591148577449946,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,housing,15,5.8999999999999995,14,0.007771338250790305,15th_assembly_issue_phrase_extraction
