daesu,name,term_member_id,party,bloc,district,member_id
15,강경식,4,신한국당,국민의힘,부산 동래을,6
15,강삼재,75,신한국당,국민의힘,마산회원구,78
15,강성재,96,한나라당,국민의힘,성북을,96
15,강용식,122,신한국당,국민의힘,전국구,124
15,강재섭,140,민자당,국민의힘,대구 서구을,142
15,강종희,144,자민련,제3지대,전국구,144
15,강창희,162,자유민주연합,제3지대,대전중구,165
15,강현욱,170,한나라당,국민의힘,군산을,170
15,구천서,275,자민련,제3지대,청주시 상당구,276
15,국창근,287,국민회의,더불어민주당,담양·장성군,287
15,권기술,294,새천년민주당,더불어민주당,경남 울산울주,294
15,권노갑,295,새정치국민회의,더불어민주당,전국구,297
15,권수창,318,자민련,제3지대,안양만안,318
15,권영자,328,한나라당,국민의힘,전국구,328
15,권오을,336,"민주당,한나라당",mixed,경북 안동갑,336
15,권익현,351,한나라당,국민의힘,산청·함양군,354
15,권정달,357,민주당,더불어민주당,안동 을,359
15,권철현,369,신한국당,국민의힘,부산 사상갑,369
15,길승흠,387,"새천년민주당, 국민회의",더불어민주당,전국구,387
15,김경재,405,국민회의,더불어민주당,전남 순천갑,405
15,김고성,414,자유민주연합,제3지대,충남 연기군지구당,414
15,김광수,431,자유민주연합,제3지대,전국구,435
15,김광원,438,한나라당,국민의힘,"영양, 봉화, 울진",438
15,김근태,463,새정치국민회의,더불어민주당,서울 도봉갑,463
15,김기수,479,신한국당,국민의힘,영월평창,480
15,김기재,488,신한국당,국민의힘,부산 해운대·기장을,488
15,김기춘,499,신한국당,국민의힘,경남 거제시,499
15,김길환,509,신한국당,국민의힘,경기 가평ㆍ양평,509
15,김덕,539,한나라당,국민의힘,전국구,539
15,김덕룡,549,한나라당,국민의힘,서울 서초을구,551
15,김도언,554,신한국당,국민의힘,부산 금정을,554
15,김동욱,583,신한국당,국민의힘,"경남 통영, 고성",585
15,김동주,592,자유민주연합,제3지대,해운대 기장 을,594
15,김명규,627,국민회의,더불어민주당,전남 광양시,628
