daesu,name,party,bloc,district,mandate_label
21,강기윤,국민의힘,국민의힘,경남 창원시성산구,지역구
21,강대식,미래통합당,국민의힘,대구 동구을,지역구
21,강득구,더불어민주당,더불어민주당,경기 안양시만안구,지역구
21,강민국,미래통합당,국민의힘,경남 진주시을,지역구
21,강민정,더불어민주당,더불어민주당,비례대표,비례대표
21,강병원,더불어민주당,더불어민주당,서울 은평구을,지역구
21,강선우,더불어민주당,더불어민주당,서울 강서구갑,지역구
21,강성희,진보당,진보당,전북 전주시을,지역구
21,강은미,정의당,정의당,비례대표,비례대표
21,강준현,더불어민주당,더불어민주당,세종특별자치시을,지역구
21,강훈식,더불어민주당,더불어민주당,충남 아산시을,지역구
21,고민정,더불어민주당,더불어민주당,서울 광진구을,지역구
21,고영인,더불어민주당,더불어민주당,경기 안산시단원구갑,지역구
21,고용진,더불어민주당,더불어민주당,서울 노원구갑,지역구
21,곽상도,무소속,무소속,대구 중구남구,지역구
21,구자근,미래통합당,국민의힘,경북 구미시갑,지역구
21,권명호,국민의힘,국민의힘,울산 동구,지역구
21,권성동,무소속,무소속,강원 강릉시,지역구
21,권영세,미래통합당,국민의힘,서울 용산구,지역구
21,권은희,국민의힘,국민의힘,비례대표,비례대표
21,권인숙,더불어민주당,더불어민주당,비례대표,비례대표
21,권칠승,더불어민주당,더불어민주당,경기 화성시병,지역구
21,기동민,더불어민주당,더불어민주당,서울 성북구을,지역구
21,김경만,더불어민주당,더불어민주당,비례대표,비례대표
21,김경협,더불어민주당,더불어민주당,경기 부천시갑,지역구
21,김교흥,더불어민주당,더불어민주당,인천 서구갑,지역구
21,김근태,국민의힘,국민의힘,비례대표,비례대표
21,김기현,미래통합당,국민의힘,울산 남구을,지역구
21,김남국,더불어민주당,더불어민주당,경기 안산시단원구을,지역구
21,김도읍,미래통합당,국민의힘,부산 북구강서구을,지역구
21,김두관,더불어민주당,더불어민주당,경남 양산시을,지역구
21,김미애,미래통합당,국민의힘,부산 해운대구을,지역구
21,김민기,더불어민주당,더불어민주당,경기 용인시을,지역구
21,김민석,더불어민주당,더불어민주당,서울 영등포구을,지역구
21,김민철,더불어민주당,더불어민주당,경기 의정부시을,지역구
21,김병기,더불어민주당,더불어민주당,서울 동작구갑,지역구
21,김병욱,더불어민주당,더불어민주당,경기 성남시분당구을,지역구
21,김병욱,국민의힘,국민의힘,경북 포항시남구울릉군,지역구
21,김병주,더불어시민당,더불어민주당,비례대표,비례대표
21,김상훈,미래통합당,국민의힘,대구 서구,지역구
21,김상희,더불어민주당,더불어민주당,경기 부천시병,지역구
21,김석기,미래통합당,국민의힘,경북 경주시,지역구
21,김선교,미래통합당,국민의힘,경기 여주시양평군,지역구
21,김성원,미래통합당,국민의힘,경기 동두천시연천군,지역구
21,김성주,더불어민주당,더불어민주당,전북 전주시병,지역구
21,김성환,더불어민주당,더불어민주당,서울 노원구병,지역구
21,김수흥,더불어민주당,더불어민주당,전북 익산시갑,지역구
21,김승남,더불어민주당,더불어민주당,전남 고흥군보성군장흥군강진군,지역구
21,김승수,미래통합당,국민의힘,대구 북구을,지역구
