assembly_daesu,election_id,speaker_clean,roster_name,member_id,speaker_party,speaker_bloc,mandate_type,district,district_sido,district_bloc_type,term_count,seniority_weight,institutional_role,role_weight,meeting_weight,national_signal_weight,local_signal_weight,cross_region_signal_weight,base_mobilization_weight,mapping_confidence,notes
15,pres_2002,,,,,,district,,,unknown,1,1.0,assembly_chair,1.12,1.15,0.4,0.6,0.0,0.0,0.7,role inferred from transcript speaker label
15,pres_2002,,,,,,district,,,unknown,1,1.0,committee_chair,1.08,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,2000년은,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,2002년월드컵등국제경기대회지원특별 대리 김기수,김기수,479,신한국당,국민의힘,district,영월평창,,unknown,1,1.0,committee_chair,1.08,1.15,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
15,pres_2002,3억,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,97년도,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,ECD,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,ECD가입에,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,ECF,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,IMF,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,IMF환란원인규명과경제위기진상조사를위한국정조사특별 장재식,,5267,,,district,,,unknown,1,1.0,committee_chair,1.08,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,nan,,,,,district,,,unknown,1,1.0,unknown,0.8,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,가족수당,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,감사원기획관리실장,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,감사원장,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,감사원장 이종남,,,,,district,,,unknown,1,1.0,unknown,0.8,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,감사원장 한승헌,,,,,district,,,unknown,1,1.0,unknown,0.8,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
15,pres_2002,강경식,강경식,4,신한국당,국민의힘,district,부산 동래을,sido_26,home_turf,1,1.0,member,1.0,1.25,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
15,pres_2002,강성재,강성재,,한나라당,국민의힘,district,성북을,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
15,pres_2002,강성재,강성재,96,한나라당,국민의힘,district,성북을,,unknown,1,1.0,member,1.0,1.25,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
15,pres_2002,강용식,강용식,122,신한국당,국민의힘,proportional,전국구,,national_list,1,1.0,member,1.0,1.25,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
15,pres_2002,강종희,강종희,144,자민련,제3지대,proportional,전국구,,national_list,1,1.0,member,1.0,1.25,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
