candidate_id,canonical_name,alias,available_date,notes
kwon_young_ghil,Kwon Young-ghil,Kwon Young-ghil,2002-01-01,Factual name identity only
kwon_young_ghil,Kwon Young-ghil,권영길,2002-01-01,Factual name identity only
lee_hoi_chang,Lee Hoi-chang,Lee Hoi-chang,1997-01-01,Factual name identity only
lee_hoi_chang,Lee Hoi-chang,이회창,1997-01-01,Factual name identity only
kang_ji_won,Kang Ji-won,Kang Ji-won,2012-01-01,Factual name identity only
kang_ji_won,Kang Ji-won,강지원,2012-01-01,Factual name identity only
ahn_cheol_soo,Ahn Cheol-soo,Ahn Cheol-soo,2012-01-01,Factual name identity only
ahn_cheol_soo,Ahn Cheol-soo,안철수,2012-01-01,Factual name identity only
chung_mong_joon,Chung Mong-joon,Chung Mong-joon,1996-01-01,Factual name identity only
chung_mong_joon,Chung Mong-joon,정몽준,1996-01-01,Factual name identity only
