daesu,name,party,bloc,district,mandate_label,source_member_code,available_date,source_url,source_type
22,강선우,더불어민주당,더불어민주당,서울 강서구갑,지역구,MNZ4401T,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,권영진,국민의힘,국민의힘,대구 달서구병,지역구,LYY5513O,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,권칠승,더불어민주당,더불어민주당,경기 화성시병,지역구,C7E79345,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김건,국민의미래,국민의미래,비례대표,비례대표,TQP7167T,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김기웅,국민의힘,국민의힘,대구 중구남구,지역구,HE08888N,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김남근,더불어민주당,더불어민주당,서울 성북구을,지역구,IUX1829H,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김남희,더불어민주당,더불어민주당,경기 광명시을,지역구,NXB3178C,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김도읍,국민의힘,국민의힘,부산 강서구,지역구,LH97552Q,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김미애,국민의힘,국민의힘,부산 해운대구을,지역구,3BC6890E,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김상욱,국민의힘,국민의힘,울산 남구갑,지역구,VDN5593C,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김석기,국민의힘,국민의힘,경북 경주시,지역구,ZYP7962W,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김선민,조국혁신당,조국혁신당,비례대표,비례대표,7GW5372Y,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김영배,더불어민주당,더불어민주당,서울 성북구갑,지역구,B7D7534L,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김영호,더불어민주당,더불어민주당,서울 서대문구을,지역구,7BM2933Y,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김용민,더불어민주당,더불어민주당,경기 남양주시병,지역구,OFE45081,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김우영,더불어민주당,더불어민주당,서울 은평구을,지역구,3UI95829,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김윤,더불어민주연합,더불어민주연합,비례대표,비례대표,5N65159P,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김은혜,국민의힘,국민의힘,경기 성남시분당구을,지역구,L5P27909,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김정재,국민의힘,국민의힘,경북 포항시북구,지역구,E1J8836Y,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김준형,조국혁신당,조국혁신당,비례대표,비례대표,8A05621B,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김태호,국민의힘,국민의힘,경남 양산시을,지역구,P0F1530P,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김한규,더불어민주당,더불어민주당,제주 제주시을,지역구,NUB4941Z,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김현,더불어민주당,더불어민주당,경기 안산시을,지역구,7YL9580G,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,김희정,국민의힘,국민의힘,부산 연제구,지역구,HRG9655C,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,남인순,더불어민주당,더불어민주당,서울 송파구병,지역구,04T3751T,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,문금주,더불어민주당,더불어민주당,전남 고흥군보성군장흥군강진군,지역구,GRP3908I,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,문대림,더불어민주당,더불어민주당,제주 제주시갑,지역구,D9I3309M,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,문진석,더불어민주당,더불어민주당,충남 천안시갑,지역구,4U29186R,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,민병덕,더불어민주당,더불어민주당,경기 안양시동안구갑,지역구,TZ228122,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,민홍철,더불어민주당,더불어민주당,경남 김해시갑,지역구,O6D8329R,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박민규,더불어민주당,더불어민주당,서울 관악구갑,지역구,M4O5221T,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박범계,더불어민주당,더불어민주당,대전 서구을,지역구,7R156073,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박용갑,더불어민주당,더불어민주당,대전 중구,지역구,1JI2689F,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박은정,조국혁신당,조국혁신당,비례대표,비례대표,1A82234K,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박정훈,국민의힘,국민의힘,서울 송파구갑,지역구,AEJ19639,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박주민,더불어민주당,더불어민주당,서울 은평구갑,지역구,6AU2417B,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박준태,국민의미래,국민의미래,비례대표,비례대표,G6W8250J,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,박희승,더불어민주당,더불어민주당,전북 남원시장수군임실군순창군,지역구,43Q3892U,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,백선희,조국혁신당,조국혁신당,비례대표,비례대표,YN160848,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,복기왕,더불어민주당,더불어민주당,충남 아산시갑,지역구,GJ56729D,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
