assembly_daesu,election_id,speaker_clean,roster_name,member_id,speaker_party,speaker_bloc,mandate_type,district,district_sido,district_bloc_type,term_count,seniority_weight,institutional_role,role_weight,meeting_weight,national_signal_weight,local_signal_weight,cross_region_signal_weight,base_mobilization_weight,mapping_confidence,notes
22,pres_2025,강선우,강선우,6854,더불어민주당,더불어민주당,district,서울 강서구갑,sido_11,swing,2,1.05,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,강인선,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,강종석,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,강희업,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,곽현준,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,권영관,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,권영진,권영진,6743,국민의힘,국민의힘,district,대구 달서구병,sido_27,home_turf,2,1.05,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,권재한,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,권칠승,권칠승,6585,더불어민주당,더불어민주당,district,경기 화성시병,sido_41,swing,3,1.1,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김건,김건,6822,국민의미래,국민의미래,proportional,비례대표,,national_list,1,1.0,unknown,0.8,1.0,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김규철,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김기웅,김기웅,6840,국민의힘,국민의힘,district,대구 중구남구,sido_27,home_turf,1,1.0,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김남근,김남근,6757,더불어민주당,더불어민주당,district,서울 성북구을,sido_11,swing,1,1.0,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김남희,김남희,6807,더불어민주당,더불어민주당,district,경기 광명시을,sido_41,swing,1,1.0,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김도읍,김도읍,6588,국민의힘,국민의힘,district,부산 강서구,sido_26,home_turf,4,1.15,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김미애,김미애,6589,국민의힘,국민의힘,district,부산 해운대구을,sido_26,home_turf,2,1.05,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김사우,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김상욱,김상욱,6843,국민의힘,국민의힘,district,울산 남구갑,sido_31,home_turf,1,1.0,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김석기,김석기,6594,국민의힘,국민의힘,district,경북 경주시,sido_47,home_turf,3,1.1,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김선민,김선민,6783,조국혁신당,조국혁신당,proportional,비례대표,,national_list,1,1.0,unknown,0.8,1.0,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김수경,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김영배,김영배,6600,더불어민주당,더불어민주당,district,서울 성북구갑,sido_11,swing,3,1.1,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김영호,김영호,0,더불어민주당,더불어민주당,district,서울 서대문구을,sido_11,swing,3,1.1,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김용균,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김용민,김용민,6603,더불어민주당,더불어민주당,district,경기 남양주시병,sido_41,swing,2,1.05,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김용진,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김우영,김우영,6787,더불어민주당,더불어민주당,district,서울 은평구을,sido_11,swing,1,1.0,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김우정,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김윤,김윤,6818,더불어민주연합,더불어민주연합,proportional,비례대표,,national_list,1,1.0,unknown,0.8,1.0,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김은혜,황규선,6761,한나라당,국민의힘,district,경기 이천,sido_41,swing,2,1.05,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김은희,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김정재,김정재,6606,국민의힘,국민의힘,district,경북 포항시북구,sido_47,home_turf,3,1.1,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김주이,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김준형,김준형,6754,조국혁신당,조국혁신당,proportional,비례대표,,national_list,1,1.0,unknown,0.8,1.0,0.85,0.15,0.0,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김지준,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김태호,김태호,6657,국민의힘,국민의힘,district,경남 양산시을,sido_48,home_turf,6,1.2,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김한규,김한규,6659,더불어민주당,더불어민주당,district,제주 제주시을,sido_49,swing,2,1.05,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김현,김현,6737,더불어민주당,더불어민주당,district,경기 안산시을,sido_41,swing,2,1.05,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,김홍균,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,김희정,김희정,6729,국민의힘,국민의힘,district,부산 연제구,sido_26,home_turf,3,1.1,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,남인순,남인순,6663,더불어민주당,더불어민주당,district,서울 송파구병,sido_11,swing,4,1.15,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,문금주,문금주,6565,더불어민주당,더불어민주당,district,전남 고흥군보성군장흥군강진군,sido_46,home_turf,1,1.0,unknown,0.8,1.0,0.38095238095238093,0.6190476190476191,0.0,0.3,0.9,speaker matched to Assembly roster/member history
22,pres_2025,문대림,문대림,6749,더불어민주당,더불어민주당,district,제주 제주시갑,sido_49,swing,1,1.0,unknown,0.8,1.0,0.4,0.6,0.2,0.0,0.9,speaker matched to Assembly roster/member history
22,pres_2025,문성모,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
22,pres_2025,문인석,,0,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
