election_id,issue_name,salience_available_date,slot,issue_evidence_count,issue_speaker_count,issue_committee_count,issue_available_date,issue_confidence_quality,link_evidence_count,directional_weighted_mentions,target_signed_evidence,target_absolute_evidence,target_source_types,link_available_date,target_directional_balance,link_consistency,target_attribution_confidence,link_reliability,available_date
pres_2025,candidate_competence,2025-05-08,A,81.0,33.0,8.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-10-22,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,candidate_competence,2025-05-08,B,81.0,33.0,8.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-05-01,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,candidate_competence,2025-05-08,C,81.0,33.0,8.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-11-19,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,corruption_integrity,2025-05-08,A,59.0,24.0,7.0,2025-05-08,0.0,3.0,2.3024999999999998,-0.973375,1.4966249999999999,person,2025-02-14,-0.6503800217155267,0.6503800217155267,0.3783755223319236,0.3783755223319236,2025-05-08
pres_2025,corruption_integrity,2025-05-08,B,59.0,24.0,7.0,2025-05-08,0.0,2.0,1.6437499999999998,0.98625,0.98625,party,2025-02-12,1.0,1.0,0.4657782494100514,0.4657782494100514,2025-05-08
pres_2025,corruption_integrity,2025-05-08,C,59.0,24.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-14,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,economy_growth,2025-05-08,A,174.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-18,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,economy_growth,2025-05-08,B,174.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-18,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,economy_growth,2025-05-08,C,174.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-09-24,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,education,2025-05-08,A,235.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-14,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,education,2025-05-08,B,235.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-03-18,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,education,2025-05-08,C,235.0,51.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-10-14,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,endorsement_event,2025-05-08,A,60.0,28.0,7.0,2025-05-08,0.0,2.0,2.125,1.275,1.275,person,2025-02-14,1.0,1.0,0.4657782494100513,0.4657782494100513,2025-05-08
