viewer_title,speaker_blocks,source_blocks,text_source_mode,issue_rows,pdf_creation_datetime,available_date,availability_basis,model_eligible_at_cutoff,minutes_id,meeting_date,class_id,class_name,committee_code,committee_name,session,title,viewer_url,pdf_url,viewer_sha256,pdf_sha256,part_sha256,semantic_fingerprint
제22대국회 제420회 (임시회) 제2차 법제사법위원회(법안심사제1소위원회) (2025.01.06.),267,267,official_xml_attributed_speech,58,2025-05-20T10:39:43,2025-05-21,official_pdf_creation_plus_safety_lag,True,52633,2025-01-06,2,standing_committee,AB,법제사법위원회,420,법안심사제1소위원회 제2차 (2025. 01. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52633&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52633,5f155839549afb62543c66aaae1fb75de17fa5f40dc90dad34dee4c4025dd54e,7ac03470906e75712a2b1a2a30cac0ff75138f668059f53a69b17bdafd25bf61,cb09a5eaf931f3e92b73004a9d68f29dbb707f892984d5f2e0dcf4a8d5d59f67,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 과학기술정보방송통신위원회 (2025.01.06.),720,720,official_xml_attributed_speech,108,2025-05-14T20:25:49,2025-05-15,official_pdf_creation_plus_safety_lag,True,52645,2025-01-06,2,standing_committee,AF,과학기술정보방송통신위원회,420,과학기술정보방송통신위원회 제2차 (2025. 01. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52645&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52645,2e3c56e79b9570b45223ddd08293d153e2b09a466b9badf1161b4d988f72c8e6,d7729fbc7935609d4284958cabaadac1bc61194cd970b8de5add9f4f06f7002a,0998aef1cbca2f5968489a3a4fab98e7b207487770c794700aa1f283d07a71b5,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 과학기술정보방송통신위원회(정보통신방송법안심사소위원회) (2025.01.06.),210,210,official_xml_attributed_speech,27,2025-04-15T13:37:00,2025-04-16,official_pdf_creation_plus_safety_lag,True,52647,2025-01-06,2,standing_committee,AF,과학기술정보방송통신위원회,420,정보통신방송법안심사소위원회 제2차 (2025. 01. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52647&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52647,64f4a12ed8aa1c2791acfb9536cee3d5058fb046160bd0b3379ca34298181a8d,077c05fec92e3f5c688b92e132931392d8c9e55c9c6c8c6c460714f0f9d4f1a1,c416710233aa83dc50544b2af52b0399b8975956c329249ce2d3b6df853f41f5,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 (2025.01.07.),168,168,official_xml_attributed_speech,63,2025-05-14T20:38:29,2025-05-15,official_pdf_creation_plus_safety_lag,True,52049,2025-01-07,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,420,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제2차 (2025. 01. 07.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52049&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52049,ff9bc20ae0eaa1a938abc0ca68b66a653eb566b270148b3c29b30d7ed953c618,38258091b5557eab38a95095d4fdecd6044a6a865196d631654b740e67845bb0,f4ecdce2d66a895be641bd5485e27d5969fe08378ca7aba0a82a770b1f5bfd3a,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 법제사법위원회 (2025.01.07.),1452,1452,official_xml_attributed_speech,253,2025-03-20T16:45:40,2025-03-21,official_pdf_creation_plus_safety_lag,True,52629,2025-01-07,2,standing_committee,AB,법제사법위원회,420,법제사법위원회 제2차 (2025. 01. 07.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52629&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52629,b0edb787be0c9ca41080be55feb1f23345f4ddbe00f089211928fdff7594b8f2,160598e36a7e134237bce7eaf272db0d07c17aebea72604cbe5e48b25d442334,e4ec78559312b6ee13b4628c14bf24fc42be9c3a827506131b85c1e8a0bf4e24,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 교육위원회 (2025.01.07.),110,110,official_xml_attributed_speech,116,2025-04-02T19:32:55,2025-04-03,official_pdf_creation_plus_safety_lag,True,52640,2025-01-07,2,standing_committee,AE,교육위원회,420,교육위원회 제2차 (2025. 01. 07.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52640&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52640,3701fc2c9d4accfbdc1e6229aa6fa7697b9bbf14b04e202c28243dae6dea724a,7cf264853f70d02e9bb1cf7f05111e09bde6b27008abeac9971e0d70a7edc8a8,5b357b70f715b711b03bfc65f5ae0c007c14b24b9023a32619f213932eec01c9,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제4차 국회운영위원회 (2025.01.08.),40,40,official_xml_attributed_speech,48,2025-04-15T10:55:54,2025-04-16,official_pdf_creation_plus_safety_lag,True,52626,2025-01-08,2,standing_committee,AA,국회운영위원회,420,국회운영위원회 제4차 (2025. 01. 08.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52626&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52626,284c347617751d7c8d54153165d4d70cbf96c4bbc9f6fb73518a6748e7269add,ec9be7acd5079602c1ffb945934dd45ac68b12704a57638072c244d2c1b0e8ad,17a9eb956b6e7c717f74228e41e8a8f72041eb3f160ac77a259cf29054f127e3,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제4차 국회본회의 (2025.01.08.),34,34,official_xml_attributed_speech,45,2025-03-10T13:45:34,2025-03-11,official_pdf_creation_plus_safety_lag,True,52680,2025-01-08,1,plenary,,plenary,420,제4차 (2025. 01. 08.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52680&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52680,441d2fc63353180d530e6b6002baac581724387e1123046b16dcdba48d829ab4,7714d31112f34db594542b46516d02b9a14419d246182131ddac24d5a8632138,903020753734253da6823b46db6c0cc74ad142ef77882707c5010eaa829f2a0a,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제5차 국회운영위원회 (2025.01.09.),9,9,official_xml_attributed_speech,8,2025-04-15T10:57:02,2025-04-16,official_pdf_creation_plus_safety_lag,True,52627,2025-01-09,2,standing_committee,AA,국회운영위원회,420,국회운영위원회 제5차 (2025. 01. 09.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52627&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52627,38c48f93791f33de35a15b647e87571227e406a34a501fc6822347f6c0430c51,d3ce0e41a945b029012889af8920116b264202b20ea29523230c7e95e33654c3,2cd1dbffb27e39c9315060c7feb7231fc05e8732c2c2f1b229ed386187cf64ac,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제3차 교육위원회 (2025.01.09.),225,225,official_xml_attributed_speech,658,2025-09-11T09:31:50,2025-09-12,official_pdf_creation_plus_safety_lag,False,52641,2025-01-09,2,standing_committee,AE,교육위원회,420,교육위원회 제3차 (2025. 01. 09.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52641&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52641,965dc374fd2524c355b3b64e7b9a1479f6c5540ed4184ca570065cf7b234e3d4,42924d2675b95d62f4c3e26dfd1566f3fd70170fe485f86b90bc95b9ba382fb0,cabf4b7cf5bbfb10431e5363725f8f99df6ea842a0a77dc6bf82e49ac16563fa,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
