election_id,target_election_date,slot,candidate_name,party_name
pres_2002,2002-12-19,A,노무현,새천년민주당
pres_2002,2002-12-19,B,이회창,한나라당
pres_2002,2002-12-19,C,권영길,민주노동당
pres_2007,2007-12-19,A,이명박,한나라당
pres_2007,2007-12-19,B,정동영,대통합민주신당
pres_2007,2007-12-19,C,이회창,무소속
pres_2012,2012-12-19,A,박근혜,새누리당
pres_2012,2012-12-19,B,문재인,민주통합당
pres_2012,2012-12-19,C,강지원,무소속
pres_2017,2017-05-09,A,문재인,더불어민주당
pres_2017,2017-05-09,B,홍준표,자유한국당
pres_2017,2017-05-09,C,안철수,국민의당
pres_2022,2022-03-09,A,윤석열,국민의힘
pres_2022,2022-03-09,B,이재명,더불어민주당
pres_2022,2022-03-09,C,심상정,정의당
