region_id,region_name,lee_jaemyung_votes,kim_moonsu_votes,lee_junseok_votes,kwon_yeongguk_votes,song_jinho_votes,source
sido_11,서울특별시,3105459,2738405,655346,83900,5998,NEC_21st_presidential_election
sido_26,부산광역시,895213,1146238,168473,18189,2099,NEC_21st_presidential_election
sido_27,대구광역시,379130,1103913,135376,12531,1362,NEC_21st_presidential_election
sido_28,인천광역시,1044295,776952,176739,20743,2098,NEC_21st_presidential_election
sido_29,광주광역시,844682,79937,62104,8767,934,NEC_21st_presidential_election
sido_30,대전광역시,470321,393549,94724,9905,1109,NEC_21st_presidential_election
sido_31,울산광역시,315820,353180,63177,9299,899,NEC_21st_presidential_election
sido_36,세종특별자치시,140620,83965,25004,2961,235,NEC_21st_presidential_election
sido_41,경기도,4821148,3504620,816435,84074,8356,NEC_21st_presidential_election
sido_42,강원특별자치도,449161,483360,78704,9422,1137,NEC_21st_presidential_election
sido_43,충청북도,501990,457065,86984,10169,1228,NEC_21st_presidential_election
sido_44,충청남도,661316,600108,111092,12893,1519,NEC_21st_presidential_election
sido_45,전북특별자치도,1023272,134996,67961,10061,1719,NEC_21st_presidential_election
sido_46,전라남도,1111941,110624,60822,9352,2104,NEC_21st_presidential_election
sido_47,경상북도,442683,1159594,116094,13884,1788,NEC_21st_presidential_election
sido_48,경상남도,851733,1123843,161579,21809,2678,NEC_21st_presidential_election
sido_50,제주특별자치도,228729,145290,36909,6191,528,NEC_21st_presidential_election
