variant,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strict_base,pres_2002,9.062754552517081,48,9.032577732840176
strict_base,pres_2007,10.004510124062852,48,8.436955058333425
strict_base,pres_2012,2.300642704837332,34,1.7438216460649192
strict_base,pres_2017,8.0385913856356,51,7.232025657650008
strict_base,pres_2022,1.5355503590479715,51,0.8892192758425246
structural,pres_2002,6.86945365324855,48,6.77291723280399
structural,pres_2007,7.6039855381007575,48,6.74309512067444
structural,pres_2012,2.3066273212252155,34,0.43929920467732086
structural,pres_2017,8.451792701925537,51,7.994597352292568
structural,pres_2022,2.220636011542691,51,1.8506293314181894
structural_mega,pres_2002,6.8694536532485495,48,6.77291723280399
structural_mega,pres_2007,7.603985538100758,48,6.743095120674442
structural_mega,pres_2012,2.306627321225215,34,0.43929920467732086
structural_mega,pres_2017,7.1749112451274035,51,6.480270858040902
structural_mega,pres_2022,2.2206360115426915,51,1.8506293314181894
structural_mega_shock,pres_2002,6.86945365324855,48,6.77291723280399
structural_mega_shock,pres_2007,7.4001938778477605,48,6.497511782024911
structural_mega_shock,pres_2012,2.3066273212252155,34,0.43929920467732086
structural_mega_shock,pres_2017,5.975423522373018,51,4.997624103950851
structural_mega_shock,pres_2022,2.220636011542691,51,1.8506293314181894
structural_mega_shock_regime,pres_2002,6.86945365324855,48,6.77291723280399
structural_mega_shock_regime,pres_2007,4.513725600498227,48,2.353447369053282
structural_mega_shock_regime,pres_2012,2.5591939260257393,34,1.0323421899684133
structural_mega_shock_regime,pres_2017,4.540267223488155,51,3.1101270410448714
structural_mega_shock_regime,pres_2022,2.220636011542691,51,1.8506293314181894
