election_id,region_id,profile_source,reservoir,reliability,effective_n,prior_events,maximum_candidate_affinity,absolute_transfer,evidence
pres_2002,sido_30,region,0.22012034092951735,0.30589645791870185,1.946507215459781,3,0.765,0.025755267471870128,regional_policy_commitment
pres_2002,sido_43,region,0.14397819797495987,0.4092722101014364,1.946507215459781,3,0.765,0.022539300299049995,regional_policy_commitment
pres_2002,sido_44,region,0.26407070636471097,0.31591891534679745,1.946507215459781,3,0.765,0.031910036157072816,regional_policy_commitment
pres_2007,sido_30,region,0.17171487290247786,0.5564002356953992,5.283171038521807,7,0.5057499999999999,0.024160232751632663,candidate_regional_base
pres_2007,sido_43,region,0.06398149001440069,0.4802000792138678,5.283171038521807,7,0.5057499999999999,0.007769310403431892,candidate_regional_base
pres_2007,sido_44,region,0.25989165056929575,0.5662961572293906,5.283171038521807,7,0.5057499999999999,0.03721704072701244,candidate_regional_base
pres_2012,sido_30,region,0.2193416661184841,0.56408221554931,9.43518516372798,12,0.765,0.04732547536729477,dated_party_merger
pres_2012,sido_36,region,0.2027208985209319,0.4,1.0,1,0.765,0.031016297473702582,dated_party_merger
pres_2012,sido_43,region,0.05547848805034858,0.6203243853327446,9.43518516372798,12,0.765,0.013163607067126106,dated_party_merger
pres_2012,sido_44,region,0.26653019586711546,0.6296202999998156,9.43518516372798,12,0.765,0.06418840436943005,dated_party_merger
pres_2017,sido_30,region,0.14607815593234197,0.37282560053104385,12.495398372604084,16,0.0,0.0,none
pres_2017,sido_36,region,0.0675896514668203,0.27231802351732654,3.525718933307686,4,0.0,0.0,none
pres_2017,sido_43,region,0.03558796702161681,0.5642874276691183,12.495398372604084,16,0.0,0.0,none
pres_2017,sido_44,region,0.1709719957071609,0.31223764811408633,12.495398372604084,16,0.0,0.0,none
pres_2022,sido_30,region,0.10436976583563667,0.2590810301696874,15.296942281386338,20,0.0,0.0,none
pres_2022,sido_36,region,0.04467704005074343,0.43079260686692533,5.970338312948046,7,0.0,0.0,none
pres_2022,sido_43,region,0.024491228024661468,0.5559274307349773,15.296942281386338,20,0.0,0.0,none
pres_2022,sido_44,region,0.1181772313833911,0.22767450803140768,15.296942281386338,20,0.0,0.0,none
