election_id,source_slot,candidate_name,structural_candidate_weight,preliminary_mean_share,preliminary_std,lower_90,upper_90,third_viability_input,major_party_core_eligible,automatic_third_viability,candidate_id,candidate_status,forecast_date,available_date,pre_withdrawal_mean_share,post_withdrawal_mean_share,withdrawal_received_share,withdrawal_unconverted_share,withdrawal_event_applied,preliminary_rank,assigned_slot,competition_role,third_viability,competition_regime,assignment_rule_version
pres_2002,A,노무현,0.6236507170942535,0.5723524277891291,0.006803939493759851,0.5588560928346662,0.5800106087921799,1.0,True,0.0,pres_2002:노무현,active_ballot,2002-12-18,2002-12-18,0.37907810662521624,0.5723524277891291,0.12332062079791148,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2002,B,이회창,0.605477518718183,0.4276475722108709,0.007740340459594744,0.4190167144200357,0.44297164141703194,1.0,True,0.0,pres_2002:이회창,active_ballot,2002-12-18,2002-12-18,0.37537989817610834,0.4276475722108709,0.0,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2002,C,Chung Mong-joon,0.496362443180384,0.24554199519867545,0.0009410991865344381,0.24371426094697718,0.24654590233790225,1.0,False,0.22,pres_2002:Chung Mong-joon,withdrawn,2002-12-18,2002-12-18,0.24554199519867545,0.0,0.0,0.12222137440076397,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
pres_2007,A,이명박,0.6039955801796253,0.48599733842758697,0.01438690616625137,0.46732706358190546,0.5140357005226247,1.0,True,0.0,pres_2007:이명박,active_ballot,2007-12-18,2007-12-18,0.48599733842758697,0.48599733842758697,0.0,0.0,False,1,A,major_candidate,0.0,two_strong_one_weak,preliminary_expected_share_v1
pres_2007,B,정동영,0.5736705923715697,0.4290997036450927,0.006191203959838372,0.4159753243198601,0.43580632197380303,1.0,True,0.0,pres_2007:정동영,active_ballot,2007-12-18,2007-12-18,0.4290997036450927,0.4290997036450927,0.0,0.0,False,2,B,major_candidate,0.0,two_strong_one_weak,preliminary_expected_share_v1
pres_2007,C,이회창,0.2607824663424675,0.08490295792732039,0.008901537362303284,0.0686959495802191,0.09748309880667066,0.99925,False,0.65,pres_2007:이회창,active_ballot,2007-12-18,2007-12-18,0.08490295792732039,0.08490295792732039,0.0,0.0,False,3,C,major_third,0.99925,two_strong_one_weak,preliminary_expected_share_v1
pres_2012,A,박근혜,0.5913836860269079,0.48112274831948093,0.009063414433243747,0.4665995979260772,0.49597880548783874,1.0,True,0.0,pres_2012:박근혜,active_ballot,2012-12-18,2012-12-18,0.4523262750212423,0.48112274831948093,0.0,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2012,B,문재인,0.5412646203807541,0.5188772516805191,0.00879956450119533,0.5040655835133849,0.5329712073934357,1.0,True,0.0,pres_2012:문재인,active_ballot,2012-12-18,2012-12-18,0.33198848600165504,0.5188772516805191,0.15583258516095666,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2012,C,Ahn Cheol-soo,0.5815358974302447,0.21568523897710268,0.013557029356574365,0.19338083252987584,0.2375715473517184,1.0,False,0.02,pres_2012:Ahn Cheol-soo,withdrawn,2012-12-18,2012-11-23,0.21568523897710268,0.0,0.0,0.05985265381614601,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
pres_2017,A,문재인,0.6640456087484613,0.40095348539621944,0.012773013812017465,0.378485073913723,0.42021058145339935,1.0,True,0.0,pres_2017:문재인,active_ballot,2017-05-08,2017-05-08,0.40095348539621944,0.40095348539621944,0.0,0.0,False,1,A,major_candidate,0.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2017,B,홍준표,0.5810657565804254,0.39487538089027513,0.014092269087795688,0.37321974676083713,0.41905172667189977,1.0,True,0.0,pres_2017:홍준표,active_ballot,2017-05-08,2017-05-08,0.39487538089027513,0.39487538089027513,0.0,0.0,False,2,B,major_candidate,0.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2017,C,안철수,0.509908099523948,0.20417113371350545,0.0044068949465134065,0.1974365214370744,0.2118982829653766,1.0,False,0.9,pres_2017:안철수,active_ballot,2017-05-08,2017-05-08,0.20417113371350545,0.20417113371350545,0.0,0.0,False,3,C,major_third,1.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2022,A,윤석열,0.5772709664827227,0.5381063227013675,0.011052962714935837,0.5200047815381055,0.5566976462739804,1.0,True,0.0,pres_2022:윤석열,active_ballot,2022-03-08,2022-03-08,0.46778990413392474,0.5381063227013675,0.042171508018263984,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2022,B,이재명,0.5364148293619495,0.46189367729863245,0.012375290140695588,0.44195455466738987,0.4817654184022703,1.0,True,0.0,pres_2022:이재명,active_ballot,2022-03-08,2022-03-08,0.42267371140305193,0.46189367729863245,0.015061252863665709,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2022,C,Ahn Cheol-soo,0.4767640926076544,0.10953638446302333,0.00978489097558044,0.09357802686252488,0.12531267796680667,1.0,False,0.55,pres_2022:Ahn Cheol-soo,withdrawn,2022-03-08,2022-03-03,0.10953638446302333,0.0,0.0,0.052303623581093646,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
