election_id,source_slot,candidate_name,structural_candidate_weight,preliminary_mean_share,preliminary_std,lower_90,upper_90,third_viability_input,major_party_core_eligible,automatic_third_viability,candidate_id,candidate_status,forecast_date,available_date,pre_withdrawal_mean_share,post_withdrawal_mean_share,withdrawal_received_share,withdrawal_unconverted_share,withdrawal_event_applied,preliminary_rank,assigned_slot,competition_role,third_viability,competition_regime,assignment_rule_version
pres_2002,A,노무현,0.6236507170942535,0.5664377282052215,0.007655455186336107,0.5512903512876348,0.5751062073476545,1.0,True,0.0,pres_2002:노무현,active_ballot,2002-12-18,2002-12-18,0.40425231091992775,0.5664377282052215,0.12071919676819935,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2002,B,이회창,0.605477518718183,0.43356227179477846,0.00835276415081166,0.4241928561146333,0.4500725860885824,1.0,True,0.0,pres_2002:이회창,active_ballot,2002-12-18,2002-12-18,0.40182323345935667,0.43356227179477846,0.0,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2002,C,Chung Mong-joon,0.42630558985531003,0.19392445562071564,0.0007027259263250894,0.1925615182444983,0.19467629180566698,1.0,False,0.2002861657537909,pres_2002:Chung Mong-joon,withdrawn,2002-12-18,2002-12-18,0.19392445562071564,0.0,0.0,0.07320525885251629,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
pres_2007,A,이명박,0.6039955801796253,0.4859751730773767,0.014557411508496184,0.46708739251164777,0.514463567425652,1.0,True,0.0,pres_2007:이명박,active_ballot,2007-12-18,2007-12-18,0.4859751730773767,0.4859751730773767,0.0,0.0,False,1,A,major_candidate,0.0,two_strong_one_weak,preliminary_expected_share_v1
pres_2007,B,정동영,0.5736705923715697,0.4291154895910481,0.006313542554115945,0.4151153546800787,0.4357637123466438,1.0,True,0.0,pres_2007:정동영,active_ballot,2007-12-18,2007-12-18,0.4291154895910481,0.4291154895910481,0.0,0.0,False,2,B,major_candidate,0.0,two_strong_one_weak,preliminary_expected_share_v1
pres_2007,C,이회창,0.2607824663424675,0.08490933733157532,0.0089573476001653,0.06871777899922689,0.09758796138522026,0.99925,False,0.6606834048636688,pres_2007:이회창,active_ballot,2007-12-18,2007-12-18,0.08490933733157532,0.08490933733157532,0.0,0.0,False,3,C,major_third,0.99925,two_strong_one_weak,preliminary_expected_share_v1
pres_2012,A,박근혜,0.5913836860269079,0.507985725777244,0.008170717857575916,0.4946446652107055,0.5214199873197178,1.0,True,0.0,pres_2012:박근혜,active_ballot,2012-12-18,2012-12-18,0.4858042904517859,0.507985725777244,0.0,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2012,B,문재인,0.5412646203807541,0.492014274222756,0.008323568636943316,0.47792423188077493,0.5050746937204085,1.0,True,0.0,pres_2012:문재인,active_ballot,2012-12-18,2012-12-18,0.3568426655239568,0.492014274222756,0.11368757430752588,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2012,C,Ahn Cheol-soo,0.4791844778363695,0.1573530440242573,0.010626838811016915,0.14001108734455953,0.17465721639096388,1.0,False,0.7345062919394135,pres_2012:Ahn Cheol-soo,withdrawn,2012-12-18,2012-11-23,0.1573530440242573,0.0,0.0,0.04366546971673141,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
pres_2017,A,문재인,0.6640456087484613,0.4007862741830484,0.012772273717969138,0.37832833573317814,0.42004660554665185,1.0,True,0.0,pres_2017:문재인,active_ballot,2017-05-08,2017-05-08,0.4007862741830484,0.4007862741830484,0.0,0.0,False,1,A,major_candidate,0.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2017,B,홍준표,0.5810657565804254,0.39464508981353424,0.014075393325579598,0.37303211141147985,0.41878683238902314,1.0,True,0.0,pres_2017:홍준표,active_ballot,2017-05-08,2017-05-08,0.39464508981353424,0.39464508981353424,0.0,0.0,False,2,B,major_candidate,0.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2017,C,안철수,0.509908099523948,0.2045686360034174,0.004417257475902521,0.19783950903527242,0.21231876875355837,1.0,False,0.8980507030347159,pres_2017:안철수,active_ballot,2017-05-08,2017-05-08,0.2045686360034174,0.2045686360034174,0.0,0.0,False,3,C,major_third,1.0,two_strong_one_medium,preliminary_expected_share_v1
pres_2022,A,윤석열,0.5772709664827227,0.5331976316185275,0.011110286915542927,0.5152017758413312,0.5516933174215535,1.0,True,0.0,pres_2022:윤석열,active_ballot,2022-03-08,2022-03-08,0.48709377471580334,0.5331976316185275,0.027751615129869806,0.0,True,1,A,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2022,B,이재명,0.5364148293619495,0.4668023683814725,0.012110148611626884,0.4470488241064871,0.48606991727577026,1.0,True,0.0,pres_2022:이재명,active_ballot,2022-03-08,2022-03-08,0.44082410806375566,0.4668023683814725,0.009911291117810646,0.0,True,2,B,major_candidate,0.0,two_candidate,preliminary_expected_share_v1
pres_2022,C,Ahn Cheol-soo,0.37879030861469737,0.07208211722044106,0.006706252419378499,0.0612239455834447,0.08302081251743064,0.99875,False,0.521338369165214,pres_2022:Ahn Cheol-soo,withdrawn,2022-03-08,2022-03-03,0.07208211722044106,0.0,0.0,0.03441921097276061,True,,withdrawn,transfer_reservoir,0.0,two_candidate,preliminary_expected_share_v1
