election_id,election_type,ballot_channel,rows,regions,lineages
assembly_1992_district,assembly_district,candidate_proxy,60,10,6
assembly_1996_district,assembly_district,candidate_proxy,105,15,7
assembly_2000_district,assembly_district,candidate_proxy,128,16,8
assembly_2004_district,assembly_district,candidate_proxy,208,16,13
assembly_2004_pr,assembly_pr,direct_party,195,15,13
assembly_2008_district,assembly_district,candidate_proxy,192,16,12
assembly_2008_pr,assembly_pr,direct_party,208,16,13
assembly_2012_district,assembly_district,candidate_proxy,289,17,17
assembly_2012_pr,assembly_pr,direct_party,238,17,14
assembly_2016_district,assembly_district,candidate_proxy,323,17,19
assembly_2016_pr,assembly_pr,direct_party,289,17,17
assembly_2020_district,assembly_district,candidate_proxy,306,17,18
assembly_2020_pr,assembly_pr,direct_party,476,17,28
assembly_2024_pr,assembly_pr,direct_party,527,17,31
local_council_2006_district,local_council_district,candidate_proxy,105,15,7
local_council_2006_pr,local_council_pr,direct_party,60,15,4
local_council_2010_district,local_council_district,candidate_proxy,105,15,7
local_council_2010_pr,local_council_pr,direct_party,90,15,6
local_council_2014_district,local_council_district,candidate_proxy,60,15,4
local_council_2014_pr,local_council_pr,direct_party,75,15,5
local_council_2018_district,local_council_district,candidate_proxy,105,15,7
local_council_2018_pr,local_council_pr,direct_party,75,15,5
local_council_2022_district,local_council_district,candidate_proxy,180,15,12
local_council_2022_pr,local_council_pr,direct_party,90,15,6
local_governor_2002,local_governor,candidate_proxy,120,15,8
local_governor_2006,local_governor,candidate_proxy,90,15,6
local_governor_2010,local_governor,candidate_proxy,105,15,7
local_governor_2014,local_governor,candidate_proxy,90,15,6
local_governor_2018,local_governor,candidate_proxy,90,15,6
local_governor_2022,local_governor,candidate_proxy,90,15,6
metro_council_2002_district,metro_council_district,candidate_proxy,150,15,10
metro_council_2002_pr,metro_council_pr,direct_party,120,15,8
metro_council_2006_district,metro_council_district,candidate_proxy,75,15,5
metro_council_2006_pr,metro_council_pr,direct_party,105,15,7
metro_council_2010_district,metro_council_district,candidate_proxy,112,16,7
metro_council_2010_pr,metro_council_pr,direct_party,96,16,6
metro_council_2014_district,metro_council_district,candidate_proxy,68,17,4
metro_council_2014_pr,metro_council_pr,direct_party,85,17,5
metro_council_2018_district,metro_council_district,candidate_proxy,102,17,6
metro_council_2018_pr,metro_council_pr,direct_party,85,17,5
metro_council_2022_district,metro_council_district,candidate_proxy,102,17,6
metro_council_2022_pr,metro_council_pr,direct_party,102,17,6
metro_governor_2002,metro_governor,candidate_proxy,90,15,6
metro_governor_2006,metro_governor,candidate_proxy,90,15,6
metro_governor_2010,metro_governor,candidate_proxy,80,16,5
metro_governor_2014,metro_governor,candidate_proxy,68,17,4
metro_governor_2018,metro_governor,candidate_proxy,102,17,6
metro_governor_2022,metro_governor,candidate_proxy,68,17,4
pres_1992,presidential,candidate_proxy,75,15,5
pres_1997,presidential,candidate_proxy,112,16,7
pres_2002,presidential,candidate_proxy,96,16,6
pres_2007,presidential,candidate_proxy,128,16,8
pres_2012,presidential,candidate_proxy,34,17,2
pres_2017,presidential,candidate_proxy,187,17,11
pres_2022,presidential,candidate_proxy,119,17,7
