lineage_id,broad_bloc,rows,elections,regions,first_event,last_event,maximum_regional_share
mainstream_liberal,더불어민주당,855,55,17,1992-03-24,2024-04-10,1.0
mainstream_conservative,국민의힘,845,55,17,1992-03-24,2024-04-10,1.0
party:진보정당계,진보정당계,609,44,17,2002-06-13,2024-04-10,0.45716049300775885
party:진보정당계,,87,23,16,2002-06-13,2022-06-01,0.0
chungcheong_regionalist,,118,16,17,2002-06-13,2022-06-01,0.0
mainstream_conservative,,23,14,4,2002-06-13,2022-06-01,0.0
unresolved_third,제3지대,177,12,17,1992-12-18,2024-04-10,0.34663155845975147
chungcheong_regionalist,제3지대,169,12,17,1996-04-11,2012-04-11,0.5420371887490381
party:공화당,공화당,76,11,17,1997-12-18,2024-04-10,0.010014254377004301
party:기독당,기독당,95,9,17,2004-04-15,2024-04-10,0.04977907261984443
party:통일한국당,통일한국당,74,9,17,1997-12-18,2024-04-10,0.008424445281001202
party:창조한국당,창조한국당,69,9,17,2007-12-19,2012-04-11,0.09988360778520765
party:사회당,사회당,77,8,16,2002-06-13,2010-06-02,0.035200761003761606
party:공화당,,102,7,17,2000-04-13,2020-04-15,0.0
mainstream_progressive,진보정당계,96,7,17,1992-03-24,2020-04-15,0.2844974187010434
party:한국국민당,한국국민당,39,7,17,2016-04-13,2018-06-13,0.0021578721757261016
party:새정치당,,74,6,16,2014-06-04,2014-06-04,0.0
party:창조한국당,,74,6,17,2008-04-09,2012-04-11,0.0
chungcheong_regionalist,자민련,67,6,16,2002-06-13,2004-04-15,0.669643761985046
party:평화민주당,,63,6,15,2010-06-02,2010-06-02,0.0
chungcheong_regionalist,국민중심당,40,6,11,2006-05-31,2006-05-31,0.3482553147749535
party:평화민주당,평화민주당,30,6,9,2010-06-02,2010-06-02,0.07396460931138751
party:새정치당,새정치당,22,6,9,2014-06-04,2014-06-04,0.014320432666578502
party:통일한국당,,74,5,17,2016-04-13,2022-06-01,0.0
party:한국국민당,,74,5,17,2016-04-13,2018-06-13,0.0
party:한류연합당,한류연합당,39,5,17,2022-03-09,2024-04-10,0.0033984365250813004
party:시민당,시민당,22,5,16,2006-05-31,2008-04-09,0.0019416034924129005
party:노년권익보호당,노년권익보호당,19,5,15,2002-06-13,2004-04-15,0.009355151353886502
mainstream_liberal,,13,5,9,2002-06-13,2014-06-04,0.0
party:노년권익보호당,,57,4,16,2002-06-13,2004-04-15,0.0
party:시민당,,54,4,14,2006-05-31,2006-05-31,0.0
party:홍익당,홍익당,52,4,17,2017-05-09,2024-04-10,0.0017318851116159008
party:기독당,,51,4,17,2004-04-15,2022-06-01,0.0
party:한미준,,51,4,15,2006-05-31,2006-05-31,0.0
party:녹색평화당,,49,4,15,2002-06-13,2002-06-13,0.0
party:사회당,,46,4,16,2002-06-13,2010-06-02,0.0
party:미래당,미래당,36,4,17,2020-04-15,2024-04-10,0.0038447702599014055
party:코리아,코리아,36,4,17,2016-04-13,2020-04-15,0.0233752751511236
mainstream_progressive,,13,4,10,1992-03-24,2016-04-13,0.0
party:녹색평화당,녹색평화당,11,4,7,2002-06-13,2002-06-13,0.04818271512759651
party:한미준,한미준,9,4,6,2006-05-31,2006-05-31,0.005126495859223002
chungcheong_regionalist,국민중심연합,7,4,2,2010-06-02,2010-06-02,0.44733663637745674
party:민중연합당,민중연합당,46,3,17,2016-04-13,2017-05-09,0.04932005060088551
party:한류연합당,,42,3,17,2022-06-01,2022-06-01,0.0
party:우리미래,,40,3,16,2018-06-13,2018-06-13,0.0
party:국민대통합당,국민대통합당,35,3,17,2017-05-09,2024-04-10,0.002555606484696604
party:대한민국당,대한민국당,35,3,17,2016-04-13,2024-04-10,0.0012226743714559018
party:한국미래연합,,35,3,14,2002-06-13,2002-06-13,0.0
party:희망사회당,,34,3,15,2006-05-31,2006-05-31,0.0
chungcheong_regionalist,충청의미래당,19,3,17,2020-04-15,2022-06-01,0.002411394337646504
party:한국복지당,한국복지당,19,3,17,2020-04-15,2022-06-01,0.0019416980666215001
party:희망사회당,희망사회당,11,3,8,2006-05-31,2006-05-31,0.009654165289506102
party:한국미래연합,한국미래연합,10,3,6,2002-06-13,2002-06-13,0.08256377284622032
party:우리미래,우리미래,9,3,5,2018-06-13,2018-06-13,0.005095032868214601
