election_type,type_reliability,paired_observations,paired_correlation,source,target_election_id
assembly_district,0.25,0,,candidate_ballot_measurement_prior,pres_2002
assembly_pr,1.0,0,,direct_party_ballot,pres_2002
local_council_district,0.25,0,,candidate_ballot_measurement_prior,pres_2002
local_council_pr,1.0,0,,direct_party_ballot,pres_2002
local_governor,0.8530323846213527,105,0.9678956959778008,prior_same_date_direct_party_pair,pres_2002
metro_council_district,0.8733903601185073,120,0.9772887534715919,prior_same_date_direct_party_pair,pres_2002
metro_council_pr,1.0,0,,direct_party_ballot,pres_2002
metro_governor,0.818647700349772,90,0.9450138559830545,prior_same_date_direct_party_pair,pres_2002
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2002
assembly_district,0.9084524920533316,165,0.9882649153325233,prior_same_date_direct_party_pair,pres_2007
assembly_pr,1.0,0,,direct_party_ballot,pres_2007
local_council_district,0.8749772431850703,105,0.9940205276012741,prior_same_date_direct_party_pair,pres_2007
local_council_pr,1.0,0,,direct_party_ballot,pres_2007
local_governor,0.9073743350546735,195,0.9747973437782298,prior_same_date_direct_party_pair,pres_2007
metro_council_district,0.9139452707193544,195,0.9820422215623652,prior_same_date_direct_party_pair,pres_2007
metro_council_pr,1.0,0,,direct_party_ballot,pres_2007
metro_governor,0.8822438961817741,180,0.952493217979749,prior_same_date_direct_party_pair,pres_2007
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2007
assembly_district,0.9432170124316167,463,0.9731615918023129,prior_same_date_direct_party_pair,pres_2012
assembly_pr,1.0,0,,direct_party_ballot,pres_2012
local_council_district,0.909711579454555,210,0.9725412536883222,prior_same_date_direct_party_pair,pres_2012
local_council_pr,1.0,0,,direct_party_ballot,pres_2012
local_governor,0.9206831627475655,285,0.9677486478526577,prior_same_date_direct_party_pair,pres_2012
metro_council_district,0.9233315856175514,290,0.9697682466946238,prior_same_date_direct_party_pair,pres_2012
metro_council_pr,1.0,0,,direct_party_ballot,pres_2012
metro_governor,0.8454907895217905,260,0.8912977733311589,prior_same_date_direct_party_pair,pres_2012
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2012
assembly_district,0.9391731424996258,667,0.9598380043436925,prior_same_date_direct_party_pair,pres_2017
assembly_pr,1.0,0,,direct_party_ballot,pres_2017
local_council_district,0.919250505380191,270,0.9688246168898349,prior_same_date_direct_party_pair,pres_2017
local_council_pr,1.0,0,,direct_party_ballot,pres_2017
local_governor,0.926777643851044,360,0.9643764018427687,prior_same_date_direct_party_pair,pres_2017
metro_council_district,0.926710414881471,358,0.9645154659921678,prior_same_date_direct_party_pair,pres_2017
metro_council_pr,1.0,0,,direct_party_ballot,pres_2017
metro_governor,0.8458672052682653,328,0.8822005714431596,prior_same_date_direct_party_pair,pres_2017
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2017
assembly_district,0.9464802780141168,854,0.9627912915507472,prior_same_date_direct_party_pair,pres_2022
assembly_pr,1.0,0,,direct_party_ballot,pres_2022
local_council_district,0.9308023742884872,360,0.9686247284156253,prior_same_date_direct_party_pair,pres_2022
local_council_pr,1.0,0,,direct_party_ballot,pres_2022
local_governor,0.9300354867678505,435,0.9613014861594759,prior_same_date_direct_party_pair,pres_2022
metro_council_district,0.9315278505040114,441,0.9624361430438758,prior_same_date_direct_party_pair,pres_2022
metro_council_pr,1.0,0,,direct_party_ballot,pres_2022
metro_governor,0.8542441451006272,413,0.883505362781045,prior_same_date_direct_party_pair,pres_2022
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2022
assembly_district,0.9464802780141168,854,0.9627912915507472,prior_same_date_direct_party_pair,pres_2025
assembly_pr,1.0,0,,direct_party_ballot,pres_2025
local_council_district,0.9409258173838212,450,0.9716336314897688,prior_same_date_direct_party_pair,pres_2025
local_council_pr,1.0,0,,direct_party_ballot,pres_2025
local_governor,0.9341334766759677,495,0.9617752333093401,prior_same_date_direct_party_pair,pres_2025
metro_council_district,0.9386537199025379,492,0.9666477735571126,prior_same_date_direct_party_pair,pres_2025
metro_council_pr,1.0,0,,direct_party_ballot,pres_2025
metro_governor,0.8657798572408939,481,0.8913840093091223,prior_same_date_direct_party_pair,pres_2025
presidential,0.25,0,,candidate_ballot_measurement_prior,pres_2025
