variant,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,0.5,False,0.25,candidate_ballot,affinity_only,pres_2002,3.2736463452862328,48,3.12909528665442
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,0.5,False,0.25,candidate_ballot,affinity_only,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,0.5,False,0.25,candidate_ballot,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,0.5,False,0.25,candidate_ballot,affinity_only,pres_2017,4.323838025879055,51,2.770437953808154
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,0.5,False,0.25,candidate_ballot,affinity_only,pres_2022,2.116164694266485,51,1.6696595997068417
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,0.5,False,0.25,candidate_ballot,prediction_tilted,pres_2002,3.4262181249633064,48,3.321093057863205
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,0.5,False,0.25,candidate_ballot,prediction_tilted,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,0.5,False,0.25,candidate_ballot,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,0.5,False,0.25,candidate_ballot,prediction_tilted,pres_2017,4.323838025879055,51,2.770437953808154
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,0.5,False,0.25,candidate_ballot,prediction_tilted,pres_2022,2.1060614121832586,51,1.6696595997068417
strong_0.50__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,0.5,False,0.25,theoretical,affinity_only,pres_2002,2.999937253725441,48,2.832760124503643
strong_0.50__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,0.5,False,0.25,theoretical,affinity_only,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,0.5,False,0.25,theoretical,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
