variant,regional_equal_election_macro_mae_pp,national_equal_election_macro_mae_pp,winner_accuracy,rows,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,theoretical_floor,regional_row_macro_mae_pp,declared_primary,followup_structural_candidate
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,3.2979087965579756,2.028026846002654,0.8,232,0.5,False,0.25,candidate_ballot,affinity_only,0.01,3.7806160899660255,False,False
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,3.3264024960767458,2.066426400244411,0.8,232,0.5,False,0.25,candidate_ballot,prediction_tilted,0.01,3.8163459452654465,False,False
strong_0.50__rupture_0__weak_0.25__floor_none__recipient_affinity_only,3.1108651042820927,1.7987837480299675,0.8,232,0.5,False,0.25,none,affinity_only,0.01,3.527111581248579,False,False
strong_0.50__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,3.171455569818114,1.863165316876037,0.8,232,0.5,False,0.25,none,prediction_tilted,0.01,3.6099744000113088,False,False
strong_0.50__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,3.159253496505266,1.8654504146966346,0.8,232,0.5,False,0.25,theoretical,affinity_only,0.01,3.5764068146247974,False,False
strong_0.50__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,3.2108822620829853,1.9212859374904112,0.8,232,0.5,False,0.25,theoretical,prediction_tilted,0.01,3.6508368235284694,False,False
strong_0.50__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,3.1426288471376487,1.820849290450474,0.8,232,0.5,False,0.5,candidate_ballot,affinity_only,0.01,3.5921875817871154,False,False
strong_0.50__rupture_0__weak_0.50__floor_candidate_ballot__recipient_prediction_tilted,3.20605350322658,1.8976483989339876,0.8,232,0.5,False,0.5,candidate_ballot,prediction_tilted,0.01,3.6679460617336326,False,False
strong_0.50__rupture_0__weak_0.50__floor_none__recipient_affinity_only,2.8627445060832097,1.4380772847804932,0.6,232,0.5,False,0.5,none,affinity_only,0.01,3.1608929206650247,False,False
strong_0.50__rupture_0__weak_0.50__floor_none__recipient_prediction_tilted,2.9783105591963297,1.493950371767162,0.8,232,0.5,False,0.5,none,prediction_tilted,0.01,3.3225349358775143,False,False
strong_0.50__rupture_0__weak_0.50__floor_theoretical__recipient_affinity_only,2.8916407137662548,1.5047439514471594,0.6,232,0.5,False,0.5,theoretical,affinity_only,0.01,3.2095303270277027,False,False
strong_0.50__rupture_0__weak_0.50__floor_theoretical__recipient_prediction_tilted,3.001979395921043,1.6073674734259886,0.8,232,0.5,False,0.5,theoretical,prediction_tilted,0.01,3.3588534717688967,False,False
strong_0.50__rupture_1__weak_0.25__floor_candidate_ballot__recipient_affinity_only,3.188488563175187,1.816055908030894,0.8,232,0.5,True,0.25,candidate_ballot,affinity_only,0.01,3.7076458266694576,False,False
strong_0.50__rupture_1__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,3.216982262693956,1.8544554622726508,0.8,232,0.5,True,0.25,candidate_ballot,prediction_tilted,0.01,3.7433756819688795,False,False
strong_0.50__rupture_1__weak_0.25__floor_none__recipient_affinity_only,3.001444870899303,1.5868128100582077,0.8,232,0.5,True,0.25,none,affinity_only,0.01,3.4541413179520113,False,False
strong_0.50__rupture_1__weak_0.25__floor_none__recipient_prediction_tilted,3.0620353364353248,1.6511943789042771,0.8,232,0.5,True,0.25,none,prediction_tilted,0.01,3.537004136714741,False,False
strong_0.50__rupture_1__weak_0.25__floor_theoretical__recipient_affinity_only,3.0498332631224763,1.6534794767248748,0.8,232,0.5,True,0.25,theoretical,affinity_only,0.01,3.5034365513282304,False,False
strong_0.50__rupture_1__weak_0.25__floor_theoretical__recipient_prediction_tilted,3.1014620287001966,1.7093149995186514,0.8,232,0.5,True,0.25,theoretical,prediction_tilted,0.01,3.5778665602319024,False,False
strong_0.50__rupture_1__weak_0.50__floor_candidate_ballot__recipient_affinity_only,3.0332086137548595,1.6088783524787147,0.8,232,0.5,True,0.5,candidate_ballot,affinity_only,0.01,3.519217318490548,False,False
strong_0.50__rupture_1__weak_0.50__floor_candidate_ballot__recipient_prediction_tilted,3.0966332698437915,1.6856774609622278,0.8,232,0.5,True,0.5,candidate_ballot,prediction_tilted,0.01,3.594975798437065,False,False
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,2.753324272700421,1.2261063468087334,0.6,232,0.5,True,0.5,none,affinity_only,0.01,3.0879226573684573,False,False
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,2.8688903258135405,1.2819794337954022,0.8,232,0.5,True,0.5,none,prediction_tilted,0.01,3.2495646725809473,False,False
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_affinity_only,2.782220480383465,1.2927730134753999,0.6,232,0.5,True,0.5,theoretical,affinity_only,0.01,3.1365600637311357,False,False
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,2.892559162538254,1.3953965354542288,0.8,232,0.5,True,0.5,theoretical,prediction_tilted,0.01,3.2858832084723297,False,False
