variant,strong_incumbent_veto_gain,weak_same_lane_gain,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strong_0.00__weak_0.00,0.0,0.0,pres_2002,4.093225309331093,48,3.984013332703977
strong_0.00__weak_0.00,0.0,0.0,pres_2007,4.399955270845373,48,2.0413333489903254
strong_0.00__weak_0.00,0.0,0.0,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.00__weak_0.00,0.0,0.0,pres_2017,4.398689028207514,51,2.8918110965341026
strong_0.00__weak_0.00,0.0,0.0,pres_2022,2.2206360115426866,51,1.850629331418183
strong_0.00__weak_0.10,0.0,0.1,pres_2002,3.761143707416541,48,3.642046114284153
strong_0.00__weak_0.10,0.0,0.1,pres_2007,4.399955270845373,48,2.0413333489903254
strong_0.00__weak_0.10,0.0,0.1,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.00__weak_0.10,0.0,0.1,pres_2017,4.398689028207514,51,2.8918110965341026
strong_0.00__weak_0.10,0.0,0.1,pres_2022,2.178847484632206,51,1.7782414387336456
strong_0.00__weak_0.25,0.0,0.25,pres_2002,3.2736463452862328,48,3.12909528665442
strong_0.00__weak_0.25,0.0,0.25,pres_2007,4.399955270845373,48,2.0413333489903254
strong_0.00__weak_0.25,0.0,0.25,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.00__weak_0.25,0.0,0.25,pres_2017,4.398689028207514,51,2.8918110965341026
strong_0.00__weak_0.25,0.0,0.25,pres_2022,2.116164694266485,51,1.6696595997068417
strong_0.00__weak_0.50,0.0,0.5,pres_2002,2.6008051357459214,48,2.2741772406048644
strong_0.00__weak_0.50,0.0,0.5,pres_2007,4.399955270845373,48,2.0413333489903254
strong_0.00__weak_0.50,0.0,0.5,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.00__weak_0.50,0.0,0.5,pres_2017,4.398689028207514,51,2.8918110965341026
strong_0.00__weak_0.50,0.0,0.5,pres_2022,2.0126061567051616,51,1.4886898679955003
strong_0.25__weak_0.00,0.25,0.0,pres_2002,4.093225309331093,48,3.984013332703977
strong_0.25__weak_0.00,0.25,0.0,pres_2007,4.308328131088869,48,1.7899662744328833
strong_0.25__weak_0.00,0.25,0.0,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.25__weak_0.00,0.25,0.0,pres_2017,4.36072721610404,51,2.831124525171127
