variant,regional_equal_election_macro_mae_pp,national_equal_election_macro_mae_pp,winner_accuracy,rows,strong_incumbent_veto_gain,weak_same_lane_gain,regional_row_macro_mae_pp,declared_primary
strong_0.00__weak_0.00,3.5343399091904812,2.360025859923,0.8,232,0.0,0.0,4.013464701074663,False
strong_0.00__weak_0.10,3.4595658834254754,2.2771548377021285,0.8,232,0.0,0.1,3.922819732255265,False
strong_0.00__weak_0.25,3.349529852926269,2.1528483043708206,0.8,232,0.0,0.25,3.789652489734072,False
strong_0.00__weak_0.50,3.194249903505942,1.9456707488186413,0.8,232,0.0,0.5,3.6012239815551625,False
strong_0.25__weak_0.00,3.5084221188184856,2.2976151307389165,0.8,232,0.25,0.0,4.008763836757732,False
strong_0.25__weak_0.10,3.43364809305348,2.2147441085180444,0.8,232,0.25,0.1,3.918118867938335,False
strong_0.25__weak_0.25,3.323612062554274,2.0904375751867375,0.8,232,0.25,0.25,3.784951625417141,False
strong_0.25__weak_0.50,3.168332113133947,1.8832600196345575,0.8,232,0.25,0.5,3.596523117238232,False
strong_0.50__weak_0.00,3.482718852822189,2.2352044015548334,0.8,232,0.5,0.0,4.004428301306615,False
strong_0.50__weak_0.10,3.4079448270571824,2.152333379333961,0.8,232,0.5,0.1,3.913783332487218,False
strong_0.50__weak_0.25,3.2979087965579756,2.028026846002654,0.8,232,0.5,0.25,3.7806160899660255,True
strong_0.50__weak_0.50,3.1426288471376487,1.820849290450474,0.8,232,0.5,0.5,3.5921875817871154,False
strong_1.00__weak_0.00,3.432725391446642,2.12744685443559,0.8,232,1.0,0.0,3.9982477408159465,False
strong_1.00__weak_0.10,3.357951365681635,2.0445758322147176,0.8,232,1.0,0.1,3.907602771996549,False
strong_1.00__weak_0.25,3.247915335182429,1.9202692988834102,0.8,232,1.0,0.25,3.7744355294753564,False
strong_1.00__weak_0.50,3.092635385762102,1.713091743331231,0.8,232,1.0,0.5,3.5860070212964468,False
