period,frequency,indicator_name,value,unit,source,available_date,source_note
1998-01-31,monthly,current_account_balance,2423,usd_million,Bank of Korea Balance of Payments,1998-03-17,attached KOSIS/BOK balance of payments table; current account row
1998-02-28,monthly,current_account_balance,4393,usd_million,Bank of Korea Balance of Payments,1998-04-14,attached KOSIS/BOK balance of payments table; current account row
1998-03-31,monthly,current_account_balance,4522,usd_million,Bank of Korea Balance of Payments,1998-05-15,attached KOSIS/BOK balance of payments table; current account row
1998-04-30,monthly,current_account_balance,3848,usd_million,Bank of Korea Balance of Payments,1998-06-14,attached KOSIS/BOK balance of payments table; current account row
1998-05-31,monthly,current_account_balance,3760,usd_million,Bank of Korea Balance of Payments,1998-07-15,attached KOSIS/BOK balance of payments table; current account row
1998-06-30,monthly,current_account_balance,2701,usd_million,Bank of Korea Balance of Payments,1998-08-14,attached KOSIS/BOK balance of payments table; current account row
1998-07-31,monthly,current_account_balance,3773,usd_million,Bank of Korea Balance of Payments,1998-09-14,attached KOSIS/BOK balance of payments table; current account row
1998-08-31,monthly,current_account_balance,1618,usd_million,Bank of Korea Balance of Payments,1998-10-15,attached KOSIS/BOK balance of payments table; current account row
1998-09-30,monthly,current_account_balance,4339,usd_million,Bank of Korea Balance of Payments,1998-11-14,attached KOSIS/BOK balance of payments table; current account row
1998-10-31,monthly,current_account_balance,2391,usd_million,Bank of Korea Balance of Payments,1998-12-15,attached KOSIS/BOK balance of payments table; current account row
1998-11-30,monthly,current_account_balance,2697,usd_million,Bank of Korea Balance of Payments,1999-01-14,attached KOSIS/BOK balance of payments table; current account row
1998-12-31,monthly,current_account_balance,3648,usd_million,Bank of Korea Balance of Payments,1999-02-14,attached KOSIS/BOK balance of payments table; current account row
1999-01-31,monthly,current_account_balance,1526,usd_million,Bank of Korea Balance of Payments,1999-03-17,attached KOSIS/BOK balance of payments table; current account row
1999-02-28,monthly,current_account_balance,1928,usd_million,Bank of Korea Balance of Payments,1999-04-14,attached KOSIS/BOK balance of payments table; current account row
1999-03-31,monthly,current_account_balance,1984,usd_million,Bank of Korea Balance of Payments,1999-05-15,attached KOSIS/BOK balance of payments table; current account row
1999-04-30,monthly,current_account_balance,1269,usd_million,Bank of Korea Balance of Payments,1999-06-14,attached KOSIS/BOK balance of payments table; current account row
1999-05-31,monthly,current_account_balance,1925,usd_million,Bank of Korea Balance of Payments,1999-07-15,attached KOSIS/BOK balance of payments table; current account row
1999-06-30,monthly,current_account_balance,2649,usd_million,Bank of Korea Balance of Payments,1999-08-14,attached KOSIS/BOK balance of payments table; current account row
1999-07-31,monthly,current_account_balance,2078,usd_million,Bank of Korea Balance of Payments,1999-09-14,attached KOSIS/BOK balance of payments table; current account row
1999-08-31,monthly,current_account_balance,1288,usd_million,Bank of Korea Balance of Payments,1999-10-15,attached KOSIS/BOK balance of payments table; current account row
1999-09-30,monthly,current_account_balance,1424,usd_million,Bank of Korea Balance of Payments,1999-11-14,attached KOSIS/BOK balance of payments table; current account row
1999-10-31,monthly,current_account_balance,2164,usd_million,Bank of Korea Balance of Payments,1999-12-15,attached KOSIS/BOK balance of payments table; current account row
1999-11-30,monthly,current_account_balance,2184,usd_million,Bank of Korea Balance of Payments,2000-01-14,attached KOSIS/BOK balance of payments table; current account row
1999-12-31,monthly,current_account_balance,1367,usd_million,Bank of Korea Balance of Payments,2000-02-14,attached KOSIS/BOK balance of payments table; current account row
2000-01-31,monthly,current_account_balance,-218,usd_million,Bank of Korea Balance of Payments,2000-03-16,attached KOSIS/BOK balance of payments table; current account row
2000-02-29,monthly,current_account_balance,-324,usd_million,Bank of Korea Balance of Payments,2000-04-14,attached KOSIS/BOK balance of payments table; current account row
2000-03-31,monthly,current_account_balance,275,usd_million,Bank of Korea Balance of Payments,2000-05-15,attached KOSIS/BOK balance of payments table; current account row
2000-04-30,monthly,current_account_balance,-1156,usd_million,Bank of Korea Balance of Payments,2000-06-14,attached KOSIS/BOK balance of payments table; current account row
2000-05-31,monthly,current_account_balance,1536,usd_million,Bank of Korea Balance of Payments,2000-07-15,attached KOSIS/BOK balance of payments table; current account row
2000-06-30,monthly,current_account_balance,2274,usd_million,Bank of Korea Balance of Payments,2000-08-14,attached KOSIS/BOK balance of payments table; current account row
2000-07-31,monthly,current_account_balance,572,usd_million,Bank of Korea Balance of Payments,2000-09-14,attached KOSIS/BOK balance of payments table; current account row
2000-08-31,monthly,current_account_balance,1168,usd_million,Bank of Korea Balance of Payments,2000-10-15,attached KOSIS/BOK balance of payments table; current account row
