region_id,province,province_short,sgg_name,period,year,quarter,indicator_name,value,unit,source,available_date,source_note,yoy_change_pct
sido_11,서울특별시,서울,강남구,2006-03-31,2006,1,apartment_transaction_price_index,59.19249482,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-05-30,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,
sido_11,서울특별시,서울,강남구,2006-06-30,2006,2,apartment_transaction_price_index,63.3787951,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-08-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,
sido_11,서울특별시,서울,강남구,2006-09-30,2006,3,apartment_transaction_price_index,63.99214958,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-11-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,
sido_11,서울특별시,서울,강남구,2006-12-31,2006,4,apartment_transaction_price_index,71.10689262,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-03-01,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,
sido_11,서울특별시,서울,강남구,2007-03-31,2007,1,apartment_transaction_price_index,73.3429713,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-05-30,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,23.90586259800429
sido_11,서울특별시,서울,강남구,2007-06-30,2007,2,apartment_transaction_price_index,70.1726388,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-08-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,10.719427040669638
sido_11,서울특별시,서울,강남구,2007-09-30,2007,3,apartment_transaction_price_index,72.12440364,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-11-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,12.708205793014393
sido_11,서울특별시,서울,강남구,2007-12-31,2007,4,apartment_transaction_price_index,72.1641473,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-02-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,1.486852597609678
sido_11,서울특별시,서울,강남구,2008-03-31,2008,1,apartment_transaction_price_index,73.08511574,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-05-30,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,-0.3515750117966565
sido_11,서울특별시,서울,강남구,2008-06-30,2008,2,apartment_transaction_price_index,73.57280824,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-08-29,KOSIS DT_KAB_11672_S5; apartment transaction price index by SGG,4.845434770795598
