region_id,province,period,year,quarter,value,indicator_name,unit,source,available_date,source_note,yoy_change_pct
sido_11,서울특별시,2006-03-31,2006,1,58.170542928,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,
sido_11,서울특별시,2006-06-30,2006,2,60.0749492156,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,
sido_11,서울특별시,2006-09-30,2006,3,62.204355153200005,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2006-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,
sido_11,서울특별시,2006-12-31,2006,4,68.1282248084,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-03-01,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,
sido_11,서울특별시,2007-03-31,2007,1,72.627191456,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,24.852180846745007
sido_11,서울특별시,2007-06-30,2007,2,72.699358812,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,21.01443240691372
sido_11,서울특별시,2007-09-30,2007,3,74.5003912412,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2007-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,19.767162697397488
sido_11,서울특별시,2007-12-31,2007,4,75.8683200452,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-02-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,11.361069892203712
sido_11,서울특별시,2008-03-31,2008,1,78.92267228,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,8.668214614651614
sido_11,서울특별시,2008-06-30,2008,2,83.42252422719999,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,14.750013742115687
sido_11,서울특별시,2008-09-30,2008,3,83.8862074168,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2008-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,12.598344812999418
sido_11,서울특별시,2008-12-31,2008,4,75.7770209752,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2009-03-01,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-0.12033885809729084
sido_11,서울특별시,2009-03-31,2009,1,75.5577666736,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2009-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-4.263547481593211
sido_11,서울특별시,2009-06-30,2009,2,79.5563647784,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2009-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-4.634431149878138
sido_11,서울특별시,2009-09-30,2009,3,83.94566567080001,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2009-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,0.07087965451171296
sido_11,서울특별시,2009-12-31,2009,4,83.94059451839999,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2010-03-01,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,10.773151858096575
sido_11,서울특별시,2010-03-31,2010,1,84.0945623392,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2010-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,11.298369501149864
sido_11,서울특별시,2010-06-30,2010,2,80.98355188800001,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2010-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,1.7939320299203754
sido_11,서울특별시,2010-09-30,2010,3,79.08792350879999,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2010-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-5.786769481404875
sido_11,서울특별시,2010-12-31,2010,4,79.83222635359999,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2011-03-01,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-4.894375824202002
sido_11,서울특별시,2011-03-31,2011,1,82.1155794072,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2011-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-2.3532828722238386
sido_11,서울특별시,2011-06-30,2011,2,81.3700608696,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2011-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,0.47726849784821557
sido_11,서울특별시,2011-09-30,2011,3,80.9641922508,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2011-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,2.3723833662053773
sido_11,서울특별시,2011-12-31,2011,4,79.7094939524,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2012-02-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-0.15373791613474408
sido_11,서울특별시,2012-03-31,2012,1,78.600394908,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2012-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-4.280776589018121
sido_11,서울특별시,2012-06-30,2012,2,77.2286182716,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2012-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-5.089639301901084
sido_11,서울특별시,2012-09-30,2012,3,75.1082778264,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2012-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-7.232721356942995
sido_11,서울특별시,2012-12-31,2012,4,74.1124613416,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2013-03-01,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-7.021789166221993
sido_11,서울특별시,2013-03-31,2013,1,74.25500015120001,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2013-05-30,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-5.528464280473622
sido_11,서울특별시,2013-06-30,2013,2,74.8899736076,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2013-08-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,-3.0282098998267504
sido_11,서울특별시,2013-09-30,2013,3,75.1290148308,apartment_transaction_price_index,index_2017q4_100,Korea Real Estate Board / KOSIS,2013-11-29,KOSIS DT_KAB_11672_S5; SIDO mean of available SGG rows,0.027609479274626203
