election_id,region_id,electorate,votes_cast,valid_votes,available_date,availability_basis
pres_1997,sido_11,7358547,5926743,5854773,1997-12-19,official count published the day after the election
pres_1997,sido_26,2692311,2124010,2094406,1997-12-19,official count published the day after the election
pres_1997,sido_27,1707338,1347018,1329088,1997-12-19,official count published the day after the election
pres_1997,sido_28,1639655,1311512,1292611,1997-12-19,official count published the day after the election
pres_1997,sido_29,870554,783025,775199,1997-12-19,official count published the day after the election
pres_1997,sido_30,881474,692821,682893,1997-12-19,official count published the day after the election
pres_1997,sido_31,654125,530459,523763,1997-12-19,official count published the day after the election
pres_1997,sido_41,5707087,4600005,4535524,1997-12-19,official count published the day after the election
pres_1997,sido_42,1077853,846596,830943,1997-12-19,official count published the day after the election
pres_1997,sido_43,1015921,805496,789816,1997-12-19,official count published the day after the election
pres_1997,sido_44,1330627,1023990,1001198,1997-12-19,official count published the day after the election
pres_1997,sido_45,1391537,1190190,1169189,1997-12-19,official count published the day after the election
pres_1997,sido_46,1519292,1325731,1301836,1997-12-19,official count published the day after the election
pres_1997,sido_47,1988379,1574454,1539608,1997-12-19,official count published the day after the election
pres_1997,sido_48,2094036,1681584,1648014,1997-12-19,official count published the day after the election
pres_1997,sido_50,361680,278999,273577,1997-12-19,official count published the day after the election
